"id","label"
"CL:4023060","hippocampal CA1-3 neuron"
"CL:4023061","hippocampal CA4 neuron"
"CL:0000000","cell"
"CL:0000540","neuron"
"CL:0000034","stem cell"
"CL:0000036","epithelial fate stem cell"
"CL:0000037","hematopoietic stem cell"
"CL:0000049","common myeloid progenitor"
"CL:0000050","megakaryocyte-erythroid progenitor cell"
"CL:0000051","common lymphoid progenitor"
"CL:0000057","fibroblast"
"CL:0000065","ependymal cell"
"CL:0000066","epithelial cell"
"CL:0000071","blood vessel endothelial cell"
"CL:0000075","columnar/cuboidal epithelial cell"
"CL:0000077","mesothelial cell"
"CL:0000084","T cell"
"CL:0000094","granulocyte"
"CL:0000099","interneuron"
"CL:0000100","motor neuron"
"CL:0000113","mononuclear phagocyte"
"CL:0000115","endothelial cell"
"CL:0000125","glial cell"
"CL:0000127","astrocyte"
"CL:0000128","oligodendrocyte"
"CL:0000136","adipocyte"
"CL:0000146","simple columnar epithelial cell"
"CL:0000148","melanocyte"
"CL:0000158","club cell"
"CL:0000163","endocrine cell"
"CL:0000165","neuroendocrine cell"
"CL:0000169","type B pancreatic cell"
"CL:0000171","pancreatic A cell"
"CL:0000173","pancreatic D cell"
"CL:0000175","luteal cell"
"CL:0000182","hepatocyte"
"CL:0000188","cell of skeletal muscle"
"CL:0000192","smooth muscle cell"
"CL:0000232","erythrocyte"
"CL:0000233","platelet"
"CL:0000235","macrophage"
"CL:0000236","B cell"
"CL:0000240","stratified squamous epithelial cell"
"CL:0000241","stratified cuboidal epithelial cell"
"CL:0000242","Merkel cell"
"CL:0000244","transitional epithelial cell"
"CL:0000287","eye photoreceptor cell"
"CL:0000312","keratinocyte"
"CL:0000317","sebocyte"
"CL:0000359","vascular associated smooth muscle cell"
"CL:0000432","reticular cell"
"CL:0000451","dendritic cell"
"CL:0000453","Langerhans cell"
"CL:0000499","stromal cell"
"CL:0000503","theca cell"
"CL:0000509","gastrin secreting cell"
"CL:0000525","syncytiotrophoblast cell"
"CL:0000526","afferent neuron"
"CL:0000542","lymphocyte"
"CL:0000553","megakaryocyte progenitor cell"
"CL:0000556","megakaryocyte"
"CL:0000557","granulocyte monocyte progenitor cell"
"CL:0000559","promonocyte"
"CL:0000561","amacrine cell"
"CL:0000573","retinal cone cell"
"CL:0000575","corneal epithelial cell"
"CL:0000576","monocyte"
"CL:0000604","retinal rod cell"
"CL:0000623","natural killer cell"
"CL:0000632","hepatic stellate cell"
"CL:0000636","Mueller cell"
"CL:0000646","basal cell"
"CL:0000648","kidney granular cell"
"CL:0000649","spinous cell of epidermis"
"CL:0000653","podocyte"
"CL:0000654","primary oocyte"
"CL:0000669","pericyte"
"CL:0000679","glutamatergic neuron"
"CL:0000706","choroid plexus epithelial cell"
"CL:0000738","leukocyte"
"CL:0000740","retinal ganglion cell"
"CL:0000745","retina horizontal cell"
"CL:0000746","cardiac muscle cell"
"CL:0000748","retinal bipolar neuron"
"CL:0000764","erythroid lineage cell"
"CL:0000775","neutrophil"
"CL:0000786","plasma cell"
"CL:0000787","memory B cell"
"CL:0000788","naive B cell"
"CL:0000816","immature B cell"
"CL:0000817","precursor B cell"
