Whole Person Physiome Table for Endocrine System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,9/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,,,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","List anatomical structures involved in the physiological function as a hierarchy, starting with an organ in Structure/1, part of an organ in Structure/2, and smaller sub-parts in subsequent columns. Add more columns if needed. For the LABEL and ID columns, use UBERON if possible or FMA as an alternative ontology.",,,,,,,,,,,,,,,,,,,,,,,,OPTIONAL: Cell (with ID if possible) to specify certain tissues or cell types within the anatomical structure,,,,,,"OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"DO NOT FILL THIS OUT YET. These columns will list body states or conditions that change the physiological process. (e.g., ""fed"", ""fasted"")",,"DO NOT FILL THIS OUT YET. These columns will indicate the changes that occur during the corresponding body states. (e.g., ""increase"", ""decrease"")",,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,Process triple,Process Logic,Process Logic,,TimeScale,Structure/1,Structure/1/LABEL,Structure/1/ID,Structure/2,Structure/2/LABEL,Structure/2/ID,Structure/3,Structure/3/LABEL,Structure/3/ID,Structure/4,Structure/4/LABEL,Structure/4/ID,Structure/5,Structure/5/LABEL,Structure/5/ID,Structure/6,Structure/6/LABEL,Structure/6/ID,Structure/7,Structure/7/LABEL,Structure/7/ID,Structure/8,Structure/8/LABEL,Structure/8/ID,Cell/1,Cell/1/LABEL,Cell/1/ID,Cell/2,Cell/2/LABEL,Cell/2/ID,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,State/1,State/2,Regulation/1,Regulation/2,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,glucagon increases glycogenolysis and gluconeogenesis in the liver to increase blood glucose; acts via adrenergic signaling,alpha cell SECRETES glucagon,IF plasma glucose IS LOW -> INCREASE glucagon secretion,IF plasma glucose IS HIGH -> DECREASE glucagon secretion,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,alpha cell,pancreatic A cell,CL:0000171,,,,plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,glucagon INCREASES glycogenolysis,IF plasma insulin IS LOW -> INCREASE glucagon secretion,IF plasma insulin IS HIGH -> DECREASE glucagon secretion,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,alpha cell,pancreatic A cell,CL:0000171,,,,plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,glucagon INCREASES gluconeogenesis,IF glucagon IS LOW -> (STATE = fed),IF glucagon IS HIGH -> (STATE = fasted),,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,alpha cell,pancreatic A cell,CL:0000171,,,,plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,insulin promotes glycogen storage and glucose uptake; receptor tyrosin kinase; promotes translocation of GLUT4 in skeletal muscle and adipocytes,beta cell SECRETES insulin,IF plasma glucose IS LOW -> DECREASE insulin secretion,IF plasma glucose IS HIGH -> INCREASE insulin secretion,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,beta cell,type B cell of pancreas,CL:0000169,,,,plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,insulin INCREASES glycogen storage,IF plasma glucose IS LOW -> (STATE = fasted),IF plasma glucose IS LOW -> (STATE = fed),,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,beta cell,type B cell of pancreas,CL:0000169,,,,plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,insulin INCREASES glucose uptake,IF plasma insulin IS LOW -> DECREASE membrane localized GLUT4,IF plasma insulin IS HIGH -> INCREASE membrane localized GLUT4,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,beta cell,type B cell of pancreas,CL:0000169,,,,plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,somatostatin production,somatostatin secretion,GO:0070253,,,,,,,,,,,,,,somatostatin is produced by delta cells to inhibit both glucagon and insulin secretion,delta cell SECRETES somatostatin,IF plasma somatostatin IS HIGH -> DECREASE insulin secretion,,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,delta cell,pancreatic D cell,CL:0000173,,,,plasma somatostatin,Somatostatin [Mass/volume] in Plasma,2961-1,,,,,,,,,,,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,somatostatin production,somatostatin secretion,GO:0070253,,,,,,,,,,,,,,,,IF plasma somatostatin IS HIGH -> DECREASE glucagon secretion,,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,delta cell,pancreatic D cell,CL:0000173,,,,plasma somatostatin,Somatostatin [Mass/volume] in Plasma,2961-1,,,,,,,,,,,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,pancreatic polypeptide production,pancreatice polypeptide secretion,GO:0036322,,,,,,,,,,,,,,pancreatic polypeptide reduces appetite and decreases gastric and pancreatic secretions,f cell SECRETES pancreatic polypeptide,IF pancreatic polypeptide IS HIGH -> DECREASE glucagon secretion,,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,F cell,PP cell,CL:0000696,,,,,,,,,,,,,,,,gallbladder emptying,,,gi motility,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,pancreatic polypeptide production,pancreatice polypeptide secretion,GO:0036322,,,,,,,,,,,,,,,,IF pancreatic polypeptide IS HIGH -> DECREASE insulin secretion,,,"minutes, hours",pancreas,pancreas,UBERON:0001264,islets of langerhans,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,,,,,,F cell,PP cell,CL:0000696,,,,,,,,,,,,,,,,gallbladder emptying,,,gi motility,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
