"id","label"
"UBERON:0001412","common palmar digital vein"
"UBERON:0001413","brachial vein"
"UBERON:0001414","median basilic vein"
"UBERON:0001420","subscapular vein"
"UBERON:0001423","radius bone"
"UBERON:0001424","ulna"
"UBERON:0001476","deltoid"
"UBERON:0001477","infraspinatus muscle"
"UBERON:0001478","teres major muscle"
"UBERON:0001496","ascending aorta"
"UBERON:0001505","coracobrachialis muscle"
"UBERON:0001506","brachialis muscle"
"UBERON:0001508","arch of aorta"
"UBERON:0001509","triceps brachii"
"UBERON:0001514","descending aorta"
"UBERON:0001516","abdominal aorta"
"UBERON:0001521","flexor carpi radialis muscle"
"UBERON:0001522","flexor carpi ulnaris muscle"
"UBERON:0001523","flexor digitorum profundus"
"UBERON:0001524","extensor carpi radialis longus muscle"
"UBERON:0001525","extensor carpi radialis brevis muscle"
"UBERON:0001526","extensor carpi ulnaris muscle"
"UBERON:0001529","brachiocephalic artery"
"UBERON:0001530","common carotid artery plus branches"
"UBERON:0001531","right common carotid artery plus branches"
"UBERON:0001532","internal carotid artery"
"UBERON:0001533","subclavian artery"
"UBERON:0001534","right subclavian artery"
"UBERON:0001535","vertebral artery"
"UBERON:0001536","left common carotid artery plus branches"
"UBERON:0001537","anterior tibial artery"
"UBERON:0001538","posterior tibial artery"
"UBERON:0001539","dorsalis pedis artery"
"UBERON:0001540","peroneal artery"
"UBERON:0001541","medial plantar artery"
"UBERON:0001544","popliteal vein"
"UBERON:0001545","anterior tibial vein"
"UBERON:0001546","posterior tibial vein"
"UBERON:0001547","small saphenous vein"
"UBERON:0001548","lateral marginal vein"
"UBERON:0001549","dorsal metatarsal vein"
"UBERON:0001550","medial marginal vein"
"UBERON:0001552","kidney arcuate artery"
"UBERON:0001553","medial tarsal artery"
"UBERON:0001561","subcostal artery"
"UBERON:0001584","left subclavian artery"
"UBERON:0001585","anterior vena cava"
"UBERON:0001586","internal jugular vein"
"UBERON:0001587","subclavian vein"
"UBERON:0001588","vertebral vein"
"UBERON:0001589","internal thoracic vein"
"UBERON:0001590","pericardiacophrenic vein"
"UBERON:0001591","thymic vein"
"UBERON:0001592","bronchial vein"
"UBERON:0001594","azygos vein"
"UBERON:0001610","lingual artery"
"UBERON:0001611","sublingual artery"
"UBERON:0001612","facial artery"
"UBERON:0001613","occipital artery"
"UBERON:0001614","superficial temporal artery"
"UBERON:0001615","transverse facial artery"
"UBERON:0001616","maxillary artery"
"UBERON:0001617","mental artery"
"UBERON:0001618","buccal artery"
"UBERON:0001619","ophthalmic artery"
"UBERON:0001620","central retinal artery"
"UBERON:0001622","lacrimal artery"
"UBERON:0001623","dorsal nasal artery"
"UBERON:0001624","anterior cerebral artery"
"UBERON:0001625","right coronary artery"
"UBERON:0001626","left coronary artery"
"UBERON:0001627","middle cerebral artery"
"UBERON:0001628","posterior communicating artery"
"UBERON:0001633","basilar artery"
"UBERON:0001634","mesencephalic artery"
"UBERON:0001635","superior cerebellar artery"
"UBERON:0001636","posterior cerebral artery"
"UBERON:0001639","hepatic portal vein"
"UBERON:0001640","celiac artery"
"UBERON:0001641","transverse sinus"
"UBERON:0001642","superior sagittal sinus"
"UBERON:0001651","right pulmonary artery"
"UBERON:0001652","left pulmonary artery"
"UBERON:0001653","facial vein"
"UBERON:0001654","supraorbital vein"
"UBERON:0001655","submental vein"
"UBERON:0001656","retromandibular vein"
"UBERON:0001657","superficial temporal vein"
"UBERON:0001658","middle temporal vein"
"UBERON:0001659","transverse facial vein"
"UBERON:0001660","maxillary vein"
"UBERON:0001661","deep temporal vein"
"UBERON:0001664","inferior cerebral vein"
"UBERON:0001669","superior cerebellar vein"
"UBERON:0001670","inferior cerebellar vein"
"UBERON:0001672","anterior cerebral vein"
"UBERON:0001673","central retinal vein"
"UBERON:0001959","white pulp of spleen"
"UBERON:0001960","periarterial lymphatic sheath"
"UBERON:0001978","parenchyma of pancreas"
"UBERON:0008874","pulmonary acinus"
"UBERON:0009885","interlobar artery"
"UBERON:0009887","interlobar vein"
"UBERON:0010132","gastroduodenal artery"
"UBERON:0010369","secondary pulmonary lobule"
"UBERON:0010400","spleen trabecular vein"
"UBERON:0011012","flexor pollicis brevis muscle"
"UBERON:0011192","superior ophthalmic vein"
"UBERON:0012324","transverse cervical artery"
"UBERON:0014685","pterygoid plexus"
"UBERON:0018231","labyrinthine artery"
"UBERON:0035530","basal vein"
"UBERON:8410043","bronchus submucosal gland"
"UBERON:0005452","hepatic cord"
"UBERON:0005464","median sacral artery"
"UBERON:0005475","sigmoid sinus"
"UBERON:0005608","hyoid artery"
"UBERON:0005628","ileal artery"
"UBERON:0005750","glomerular parietal epithelium"
"UBERON:0006137","proper palmar digital artery"
"UBERON:0006139","plantar digital vein"
"UBERON:0006144","medial plantar digital vein"
"UBERON:0006198","dorsal intercostal artery"
"UBERON:0006199","posterior auricular vein"
"UBERON:0006345","stapedial artery"
"UBERON:0006355","superior vesical vein"
"UBERON:0006632","musculo-phrenic artery"
"UBERON:0006634","lingual vein"
"UBERON:0006636","lumbar artery"
"UBERON:0006656","deep dorsal vein of penis"
"UBERON:0006662","musculo-phrenic vein"
"UBERON:0006663","hemiazygos vein"
"UBERON:0006664","greater palatine artery"
"UBERON:0006665","accessory hemiazygos vein"
"UBERON:0006666","great cerebral vein"
"UBERON:0006687","median sacral vein"
"UBERON:0006690","deep dorsal vein of clitoris"
"UBERON:0006729","liver perisinusoidal space"
"UBERON:0006764","anterior communicating artery"
"UBERON:0006958","great vein of heart"
"UBERON:0007146","posterior spinal artery"
"UBERON:0007149","inferior thyroid artery"
"UBERON:0007150","superior thyroid artery"
"UBERON:0007152","inferior sagittal sinus"
"UBERON:0007153","superior epigastric artery"
"UBERON:0007154","inferior epigastric vein"
"UBERON:0007155","superior epigastric vein"
"UBERON:0007156","inferior thyroid vein"
"UBERON:0007157","superior thyroid vein"
"UBERON:0007316","deep external pudendal artery"
"UBERON:0007317","superficial external pudendal artery"
"UBERON:0007614","extensor digiti minimi muscle"
