organ,id,cf_asctb_type,label
allen_brain,UBERON:0000955,AS,brain
allen_brain,UBERON:0001890,AS,forebrain (prosencephalon)
allen_brain,UBERON:0019264,AS,gray matter of forebrain
allen_brain,UBERON:0000956,AS,cerebral cortex
allen_brain,UBERON:0016525,AS,frontal lobe
allen_brain,UBERON:0002661,AS,superior frontal gyrus
allen_brain,UBERON:0002702,AS,middle frontal gyrus
allen_brain,UBERON:0002998,AS,inferior frontal gyrus
allen_brain,UBERON:0002629,AS,"inferior frontal gyrus, triangular part"
allen_brain,UBERON:0002980,AS,"inferior frontal gyrus, opercular part"
allen_brain,UBERON:0002624,AS,"inferior frontal gyrus, orbital part"
allen_brain,UBERON:0004671,AS,gyrus rectus (straight gyrus)
allen_brain,UBERON:0002570,AS,medial orbital gyrus
allen_brain,UBERON:0002644,AS,anterior intermediate orbital gyrus
allen_brain,UBERON:0002644,AS,posterior intermediate orbital gyrus
allen_brain,UBERON:0002564,AS,lateral orbital gyrus
allen_brain,UBERON:0035932,AS,"paracentral lobule, rostral part"
allen_brain,UBERON:0022398,AS,paracingulate gyrus
allen_brain,UBERON:0002947,AS,frontal operculum
allen_brain,UBERON:0002593,AS,orbital operculum
allen_brain,UBERON:0019280,AS,rostral gyrus
allen_brain,UBERON:0019279,AS,superior rostral gyrus
allen_brain,UBERON:0019278,AS,inferior rostral gyrus
allen_brain,UBERON:0004725,AS,lateral olfactory gyrus
allen_brain,ASCTB-TEMP:frontomarginal-gyrus,AS,frontomarginal gyrus
allen_brain,UBERON:0002795,AS,frontal pole
allen_brain,UBERON:0001872,AS,parietal lobe
allen_brain,UBERON:0002581,AS,postcentral gyrus
allen_brain,UBERON:0006094,AS,supraparietal lobule
allen_brain,UBERON:0006088,AS,inferior parietal lobule
allen_brain,UBERON:0002688,AS,supramarginal gyrus
allen_brain,UBERON:0002686,AS,angular gyrus
allen_brain,UBERON:0006093,AS,precuneus
allen_brain,UBERON:0035934,AS,"paracentral lobule, caudal part"
allen_brain,UBERON:0002911,AS,parietal operculum
allen_brain,UBERON:0001871,AS,temporal lobe
allen_brain,UBERON:0002769,AS,superior temporal gyrus
allen_brain,UBERON:0002771,AS,middle temporal gyrus
allen_brain,UBERON:0002751,AS,inferior temporal gyrus
allen_brain,UBERON:0022364,AS,"occipitotemporal (fusiform) gyrus, temporal part"
allen_brain,UBERON:0006083,AS,perirhinal gyrus ( rostral part of FuGt)
allen_brain,UBERON:0003939,AS,transverse temporal gyrus (Heschl's gyrus)
allen_brain,UBERON:0002773,AS,rostral (anterior) transverse temporal gyrus
allen_brain,UBERON:0002774,AS,caudal (posterior) transverse temporal gyrus
allen_brain,UBERON:0022268,AS,planum temporale
allen_brain,UBERON:0002576,AS,temporal pole
allen_brain,UBERON:0006083,AS,perirhinal lobule
allen_brain,UBERON:0023861,AS,planum polare
allen_brain,UBERON:0002021,AS,occipital lobe
allen_brain,UBERON:0002902,AS,occipital pole
allen_brain,ASCTB-TEMP:occipitoparietal-transition-region,AS,occipitoparietal transition region
allen_brain,ASCTB-TEMP:occipitotemporal-transition-region,AS,occipitotemporal transition region
allen_brain,UBERON:0006092,AS,cuneus
allen_brain,UBERON:0002943,AS,lingual gyrus
allen_brain,ASCTB-TEMP:occipitotemporal-fusiform-gyrus-occipital-part,AS,"occipitotemporal (fusiform) gyrus, occipital part"
allen_brain,UBERON:0014608,AS,inferior occipital gyrus
allen_brain,UBERON:0002948,AS,superior occipital gyrus
allen_brain,UBERON:0002022,AS,insular lobe
allen_brain,UBERON:0034891,AS,long insular gyri
allen_brain,UBERON:0034891,AS,short insular gyri
allen_brain,UBERON:0002600,AS,limbic lobe
allen_brain,UBERON:0002967,AS,cingulate gyrus
allen_brain,UBERON:0002756,AS,"cingulate gyrus, rostral (anterior) part"
allen_brain,UBERON:0002740,AS,"cingulate gyrus, caudal (posterior) part"
allen_brain,ASCTB-TEMP:cingulate-gyrus-retrospleninal-part,AS,"cingulate gyrus, retrospleninal part"
allen_brain,UBERON:0002738,AS,cingulo-parahippocampal isthmus
allen_brain,UBERON:0003020,AS,subcallosal gyrus (parolfactory gyrus)
allen_brain,UBERON:0002603,AS,paraterminal gyrus
allen_brain,UBERON:0002973,AS,parahippocampal gyrus
allen_brain,UBERON:0022383,AS,anterior parahippocampal gyrus
allen_brain,UBERON:0002657,AS,posterior parahippocampal gyrus
allen_brain,UBERON:0034773,AS,uncus of parahippocampal gyrus
allen_brain,UBERON:0002421,AS,hippocampal gyrus (formation)
allen_brain,ASCTB-TEMP:head-of-hippocampus,AS,head of hippocampus
allen_brain,ASCTB-TEMP:body-of-hippocampus,AS,body of hippocampus
allen_brain,UBERON:0023787,AS,subicular complex
allen_brain,UBERON:0002590,AS,prepiriform region
allen_brain,UBERON:0002264,AS,Olfactory bulb
allen_brain,UBERON:0001876,AS,amygdaloid complex
allen_brain,UBERON:0002890,AS,anterior amygdalar area
allen_brain,UBERON:0034991,AS,anterior cortical nucleus
allen_brain,UBERON:0002891,AS,posterior cortical nucleus
allen_brain,UBERON:0002892,AS,medial nucleus
allen_brain,UBERON:0002886,AS,lateral nucleus
allen_brain,UBERON:0006107,AS,basolateral nucleus
allen_brain,UBERON:0002889,AS,basomedial nucleus
allen_brain,UBERON:0002883,AS,central nuclear group
allen_brain,UBERON:0034673,AS,amygdalohippocampal area
allen_brain,UBERON:0001880,AS,bed nucleus of stria terminalis
allen_brain,UBERON:0010011,AS,basal nuclei (basal ganglia)
allen_brain,UBERON:0001873,AS,caudate nucleus
allen_brain,UBERON:0001874,AS,putamen
allen_brain,UBERON:0001882,AS,nucleus accumbens
allen_brain,UBERON:0002477,AS,"globus pallidus, internal"
allen_brain,UBERON:0002476,AS,"globus pallidus, external"
allen_brain,UBERON:0002023,AS,claustrum
allen_brain,UBERON:0002743,AS,basal forebrain
allen_brain,ASCTB-TEMP:septal-nuclei,AS,septal nuclei
allen_brain,UBERON:0003017,AS,substantia Innominata
allen_brain,UBERON:0001897,AS,thalamus
allen_brain,UBERON:0004703,AS,dorsal thalamus
allen_brain,UBERON:0002788,AS,anterior nuclear complex
allen_brain,UBERON:0002739,AS,mediodorsal nucleus of thalamus
allen_brain,UBERON:0001921,AS,reunions nucleus of thalamus
allen_brain,UBERON:0002983,AS,lateral posterior nucleus
allen_brain,UBERON:0002981,AS,pulvinar of thalamus
allen_brain,UBERON:0002637,AS,ventral anterior nucleus
allen_brain,UBERON:0001925,AS,ventral lateral nucleus
allen_brain,UBERON:0002945,AS,ventral posterior medial nucleus
allen_brain,UBERON:0002942,AS,ventral posterior lateral nucleus
allen_brain,UBERON:0001926,AS,lateral geniculate nuclei
allen_brain,UBERON:0001927,AS,medial geniculate nuclei
allen_brain,UBERON:0001922,AS,parafascicular nucleus
allen_brain,UBERON:0002972,AS,centromedian nucleus
allen_brain,UBERON:0002705,AS,midline nuclear complex
allen_brain,UBERON:0001900,AS,ventral thalamus
allen_brain,UBERON:0001907,AS,zona Incerta
allen_brain,UBERON:0001899,AS,epithalamus
allen_brain,UBERON:0008993,AS,habenular nuclei
allen_brain,UBERON:0001920,AS,paraventricular nucleus of thalamus
allen_brain,UBERON:0001905,AS,pineal body
allen_brain,UBERON:0001903,AS,reticular formation of thalamus
allen_brain,UBERON:0001906,AS,subthalamic nucleus (subthalamus)
allen_brain,UBERON:0001898,AS,hypothalamus
allen_brain,UBERON:0007769,AS,preoptic region
allen_brain,UBERON:0001929,AS,supraoptic region
allen_brain,UBERON:0000435,AS,tuberal region
allen_brain,UBERON:0001898,AS,mammillary region
allen_brain,UBERON:0002206,AS,mammillary nucleus
allen_brain,UBERON:0019261,AS,white matter of forebrain
allen_brain,UBERON:0000935,AS,anterior commissure
allen_brain,UBERON:0002336,AS,corpus callosum (midline portion)
allen_brain,UBERON:0000052,AS,fornix
allen_brain,UBERON:0001887,AS,internal capsule
allen_brain,UBERON:0002990,AS,mammillothalamic tract
allen_brain,UBERON:0002265,AS,olfactory tract
allen_brain,UBERON:0022264,AS,optic radiation
allen_brain,UBERON:0001908,AS,optic tract
allen_brain,UBERON:0002285,AS,ventricle of forebrain
allen_brain,UBERON:0002285,AS,lateral ventricles
allen_brain,UBERON:0002651,AS,anterior horn of lateral ventricle
allen_brain,UBERON:0002655,AS,body of lateral ventricle
allen_brain,ASCTB-TEMP:atrium-of-lateral-ventricle,AS,atrium of lateral ventricle
allen_brain,UBERON:0004672,AS,posterior horn of lateral ventricle
allen_brain,UBERON:0006091,AS,inferior horn of lateral ventricle
allen_brain,UBERON:0002286,AS,third ventricle
allen_brain,UBERON:0001891,AS,midbrain (mesencephalon)
allen_brain,UBERON:0019267,AS,gray matter of midbrain
allen_brain,UBERON:0001944,AS,Pretectal region
allen_brain,UBERON:0001943,AS,midbrain tegmentum
allen_brain,UBERON:0003040,AS,periaqueductal gray substance
allen_brain,UBERON:0001947,AS,red nucleus
allen_brain,UBERON:0002038,AS,substantia nigra
allen_brain,UBERON:0001945,AS,superior colliculus
allen_brain,UBERON:0001946,AS,inferior colliculus
allen_brain,UBERON:0016554,AS,white matter of midbrain
allen_brain,UBERON:0002623,AS,cerebral peduncle
allen_brain,UBERON:0002289,AS,ventricle of midbrain (cerebral aqueduct)
allen_brain,UBERON:0002028,AS,hindbrain (rhombencephalon)
allen_brain,UBERON:0019263,AS,gray matter of hindbrain
allen_brain,UBERON:0002037,AS,cerebellum
allen_brain,UBERON:0002129,AS,cerebellar cortex
allen_brain,UBERON:0027285,AS,paravermis of cerebellum
allen_brain,UBERON:0014644,AS,lateral hemisphere of cerebellum
allen_brain,UBERON:0004720,AS,cerebellar vermis
allen_brain,UBERON:0002130,AS,cerebellar deep nuclei
allen_brain,UBERON:0000988,AS,pons
allen_brain,UBERON:0003023,AS,pontine tegmentum
allen_brain,UBERON:0007228,AS,vestibular nuclei
allen_brain,UBERON:0007634,AS,parabrachial nuclei
allen_brain,UBERON:0002151,AS,basilar part of pons (Pontine nuclei)
allen_brain,UBERON:0001896,AS,medulla oblongata
