Label,ID,Level_Type,Found_in_ASCTB
zona reticularis of adrenal gland,UBERON:0002055,Structure,Not found
parvocellular neurosecretory cell,CL:1001505,Cell,Not found
adenohypophysis,UBERON:0002196,Structure,Not found
granulosa cell,CL:0000501,Cell,Not found
luteal cel,CL:0000175,Cell,Found
white adipocyte,CL:0000448,Cell,Not found
skeletal muscle fiber,CL:0008002,Cell,Not found
fibroblast of dermis,CL:0002551,Cell,Not found
placental villous trophoblast,CL:2000060,Cell,Not found
mammary gland connective tissue,UBERON:0003584,Structure,Not found
white adipose tissue,UBERON:0001347,Structure,Not found
ovarian follicle,UBERON:0001305,Structure,Found
corpus luteum,UBERON:0002512,Structure,Found
endometrium,UBERON:0001295,Structure,Found
ovary,UBERON:0000992,Structure,Found
oocyte,CL:0000023,Cell,Not found
theca cell,CL:0000503,Cell,Found
tertiary ovarian follicle,UBERON:0000037,Structure,Not found
sacral nerve plexus,UBERON:0034986,Structure,Found
corpus cavernosum clitoridis,UBERON:0006608,Structure,Not found
dorsal artery of clitoris,UBERON:0008323,Structure,Found
deep dorsal vein of clitoris,UBERON:0006690,Structure,Found
major vestibular gland,UBERON:0000460,Structure,Not found
skeletal muscle tissue,UBERON:0001134,Structure,Not found
uterine cervix,UBERON:0000002,Structure,Found
uterus,UBERON: 0000995,Structure,Not found
neurohypophysis,UBERON:0002198,Structure,Not found
fimbriae of fallopian tube,UBERON:8410010,Structure,Found
oviduct epithelium,UBERON:0004804,Structure,Found
ampulla of fallopian tube,UBERON:0012648,Structure,Found
morula,UBERON:0000085,Structure,Not found
stromal cell of endometrium,CL:0002255,Cell,Found
trophoblast,UBERON:0000088,Structure,Not found
chorionic trophoblast cell,CL:0011101,Cell,Not found
erythrocyte,CL:0000232,Cell,Found
blood plasma,UBERON:0001969,Structure,Not found
heart left ventricle,UBERON:0002084,Structure,Found
alveolus of lung,UBERON:0002299,Structure,Found
myometrium,UBERON:0001296,Structure,Found
uterine spiral artery,UBERON:0015171,Structure,Found
vagina,UBERON:0000996,Structure,Not found
lactocyte,CL:0002325,Cell,Not found
nipple,UBERON:0002030,Structure,Not found
median eminence of neurohypophysis,UBERON:0002197,Structure,Not found
mammary gland,UBERON:0001911,Structure,Found
mammary gland smooth muscle,UBERON:0004235,Structure,Not found
