Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,pancreatic A cell,CL:0000171,,,,,glucagon production@alpha cell SECRETES glucagon,glucagon production@alpha cell SECRETES glucagon,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,pancreatic A cell,CL:0000171,,,,,glucagon production@glucagon INCREASES glycogenolysis,glucagon production@glucagon INCREASES glycogenolysis,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,pancreatic A cell,CL:0000171,,,,,glucagon production@glucagon INCREASES gluconeogenesis,glucagon production@glucagon INCREASES gluconeogenesis,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,type B cell of pancreas,CL:0000169,,,,,insulin production@beta cell SECRETES insulin,insulin production@beta cell SECRETES insulin,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,type B cell of pancreas,CL:0000169,,,,,insulin production@insulin INCREASES glycogen storage,insulin production@insulin INCREASES glycogen storage,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,type B cell of pancreas,CL:0000169,,,,,insulin production@insulin INCREASES glucose uptake,insulin production@insulin INCREASES glucose uptake,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,pancreatic D cell,CL:0000173,,,,,somatostatin production@delta cell SECRETES somatostatin,somatostatin production@delta cell SECRETES somatostatin,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,pancreatic D cell,CL:0000173,,,,,somatostatin production@nan,somatostatin production@nan,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,PP cell,CL:0000696,,,,,pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide,pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide,,,,
endocrine system,pancreas,pancreas,UBERON:0001264,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,PP cell,CL:0000696,,,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
