Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,glucagon production@alpha cell SECRETES glucagon,glucagon production@alpha cell SECRETES glucagon,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,glucagon production@glucagon INCREASES glycogenolysis,glucagon production@glucagon INCREASES glycogenolysis,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,glucagon production@glucagon INCREASES gluconeogenesis,glucagon production@glucagon INCREASES gluconeogenesis,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,insulin production@beta cell SECRETES insulin,insulin production@beta cell SECRETES insulin,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,insulin production@insulin INCREASES glycogen storage,insulin production@insulin INCREASES glycogen storage,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,insulin production@insulin INCREASES glucose uptake,insulin production@insulin INCREASES glucose uptake,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,somatostatin production@delta cell SECRETES somatostatin,somatostatin production@delta cell SECRETES somatostatin,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,somatostatin production@nan,somatostatin production@nan,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide,pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
endocrine system,pancreas,islet of Langerhans,UBERON:0000006,FTU,,,pancreatic polypeptide production@nan,pancreatic polypeptide production@nan,,,,
