Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,adrenal gland,adrenal gland,UBERON:0002369,adrenal cortex,UBERON:0001235,zona reticularis of adrenal gland,UBERON:0002055,,,,,,,,,,,,,,,,,,DHEA production@nan,,,,
female reproductive system,adrenal gland,adrenal gland,UBERON:0002369,adrenal cortex,UBERON:0001235,zona reticularis of adrenal gland,UBERON:0002055,,,,,,,,,,,,,,,,,,DHEA production@nan,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,,luteinizing hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,,luteinizing hormone releasing hormone production@nan,,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,luteinizing hormone releasing hormone release@nan,,,,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,luteinizing hormone production@nan,,,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,luteinizing hormone release@nan,,,,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,prolactin release@anterior pituitary SECRETES prolactin,,,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,follicle stimulating hormone production@IF (sex = female): fsh STIMULATES granulosa cell,,,,,
female reproductive system,ovary,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,,,,,,,,,,,,,granulosa cell,CL:0000501,,,,,,estradiol synthesis@granulosa cell SECRETES estradiol,,,,
