Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,adrenal gland,,,Unknown,,,,DHEA production@nan,,,,
female reproductive system,adrenal gland,,,Unknown,,,,DHEA production@nan,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,,luteinizing hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,,luteinizing hormone releasing hormone production@nan,,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,luteinizing hormone releasing hormone release@nan,,,,,,
female reproductive system,pituitary gland,,,Unknown,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
female reproductive system,pituitary gland,,,Unknown,,,luteinizing hormone production@nan,,,,,
female reproductive system,pituitary gland,,,Unknown,,luteinizing hormone release@nan,,,,,,
female reproductive system,pituitary gland,,,Unknown,,,prolactin release@anterior pituitary SECRETES prolactin,,,,,
female reproductive system,pituitary gland,,,Unknown,,,follicle stimulating hormone production@IF (sex = female): fsh STIMULATES granulosa cell,,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@granulosa cell SECRETES estradiol,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,ovarian follicle,UBERON:0001305,AS,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,corpus luteum,UBERON:0002512,AS,,,,progesterone production@luteal cell SECRETES progesterone,,,,
female reproductive system,ovary,corpus luteum,UBERON:0002512,AS,,,,progesterone production@nan,,,,
