Human Organ System,Major Organs,Lowest Structure,Lowest ID,Lowest Type,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,DHEA production@nan,,,,
female reproductive system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,DHEA production@nan,,,,
female reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,,luteinizing hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
female reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,,luteinizing hormone releasing hormone production@nan,,,,,
female reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,luteinizing hormone releasing hormone release@nan,,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,luteinizing hormone production@nan,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,luteinizing hormone release@nan,,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,prolactin release@anterior pituitary SECRETES prolactin,,,,,
female reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,follicle stimulating hormone production@IF (sex = female): fsh STIMULATES granulosa cell,,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@granulosa cell SECRETES estradiol,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
female reproductive system,ovary,granulosa cell,CL:0000501,Unknown,,,,estradiol synthesis@nan,,,,
