Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,somatostatin production@parvocellular neuron SECRETES somatostatin,,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,somatostatin production@parvocellular neuron SECRETES dopamine,,,,,,
male reproductive system,skeletal muscle,skeletal muscle tissue,UBERON:0001134,,,,,,,,,,,,,,,skeletal muscle fiber,CL:0008002,,,,,,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,,gonadotropin hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,,gonadotropin hormone releasing hormone production@nan,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,paraventricular nucleus of hypothalamus,UBERON:0001930,,,,,,,,,,,,,parvocellular neurosecretory cell,CL:1001505,,,,gonadotropin hormone releasing hormone release@nan,,,,,,
male reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
male reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,luteinizing hormone release@nan,,,,,,
male reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,,,,,,
male reproductive system,adrenal gland,adrenal gland,UBERON:0002369,adrenal medulla,UBERON:0001236,zona reticularis of adrenal gland,UBERON:0002055,,,,,,,,,,,,,,,,,,androstenedione production@zona reticularis SECRETES androstenedione,,,,
male reproductive system,adipose tissue,adipose tissue,UBERON:0001013,,,,,,,,,,,,,,,white adipocyte,CL:0000448,,,,,,peripheral aromatization@nan,,,,
male reproductive system,skeletal muscle,skeletal muscle tissue,UBERON:0001134,,,,,,,,,,,,,,,CL:0008002,NAN,,,,,,peripheral aromatization@nan,,,,
male reproductive system,skin,skin of body,UBERON:0002097,,,,,,,,,,,,,,,CL:0002551,NAN,,,,,,peripheral aromatization@nan,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Leydig cell,CL:0000178,,,,,testosterone production@leydig cell SECRETES testosterone,,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Leydig cell,CL:0000178,,,,,,,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Leydig cell,CL:0000178,,,,,,testosterone production@nan,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Leydig cell,CL:0000178,,,,,,,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Leydig cell,CL:0000178,,,,,,,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Sertoli cell,CL:0000216,,,,,,inhibin B production@sertoli cell SECRETES inhibin b,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Sertoli cell,CL:0000216,,,,,,anti-müllerian hormone production@sertoli cell SECRETES anti-mullerian hormone,,,,
male reproductive system,testis,testis,UBERON:0000473,seminiferous tubule of testis,UBERON:0001343,,,,,,,,,,,,,Sertoli cell,CL:0000216,,,,,,,spermatogenesis@sertoli cell GENERATES spermatozoa,,,
male reproductive system,testis,testis,UBERON:0000473,epididymis,UBERON:0001301,,,,,,,,,,,,,,,,,,,,,maturation of spermatozoa@nan,,,
male reproductive system,testis,testis,UBERON:0000473,vas deferens,UBERON:0001000,,,,,,,,,,,,,,,,,,,spermatozoa transport@spermatozoa MOVE FROM epididymis TO vas deferens AND FROM vas deferens TO seminal vesicle,,,,,
male reproductive system,testis,testis,UBERON:0000473,seminal vesicle,UBERON:0000998,,,,,,,,,,,,,,,,,,,,,spermatozoa storage@seminal vesicle STORES spermatozoa,,,
