Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,somatostatin production@parvocellular neuron SECRETES somatostatin,,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,somatostatin production@parvocellular neuron SECRETES dopamine,,,,,,
male reproductive system,skeletal muscle,,,Unknown,,,,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,,gonadotropin hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,,gonadotropin hormone releasing hormone production@nan,,,,,
male reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,gonadotropin hormone releasing hormone release@nan,,,,,,
male reproductive system,pituitary gland,,,Unknown,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
male reproductive system,pituitary gland,,,Unknown,,luteinizing hormone release@nan,,,,,,
male reproductive system,pituitary gland,,,Unknown,,,,,,,,
male reproductive system,adrenal gland,,,Unknown,,,,androstenedione production@zona reticularis SECRETES androstenedione,,,,
male reproductive system,adipose tissue,adipose tissue,UBERON:0001013,AS,,,,peripheral aromatization@nan,,,,
male reproductive system,skeletal muscle,,,Unknown,,,,peripheral aromatization@nan,,,,
male reproductive system,skin,skin of body,UBERON:0002097,AS,,,,peripheral aromatization@nan,,,,
male reproductive system,testis,,,Unknown,,,testosterone production@leydig cell SECRETES testosterone,,,,,
male reproductive system,testis,,,Unknown,,,,,,,,
male reproductive system,testis,,,Unknown,,,,testosterone production@nan,,,,
male reproductive system,testis,,,Unknown,,,,,,,,
male reproductive system,testis,,,Unknown,,,,,,,,
male reproductive system,testis,,,Unknown,,,,inhibin B production@sertoli cell SECRETES inhibin b,,,,
male reproductive system,testis,,,Unknown,,,,anti-müllerian hormone production@sertoli cell SECRETES anti-mullerian hormone,,,,
male reproductive system,testis,,,Unknown,,,,,spermatogenesis@sertoli cell GENERATES spermatozoa,,,
male reproductive system,testis,,,Unknown,,,,,maturation of spermatozoa@nan,,,
male reproductive system,testis,,,Unknown,,,spermatozoa transport@spermatozoa MOVE FROM epididymis TO vas deferens AND FROM vas deferens TO seminal vesicle,,,,,
male reproductive system,testis,,,Unknown,,,,,spermatozoa storage@seminal vesicle STORES spermatozoa,,,
male reproductive system,testis,,,Unknown,,,,seminal plasma generation@seminal vesicle SECRETES seminal plasma,,,,
male reproductive system,prostate,prostate gland,UBERON:0002367,AS,,,dht secretion@prostate SECRETES dht,,,,,
male reproductive system,prostate,prostate gland,UBERON:0002367,AS,,ejaculate fluid generation@bulbourethral gland SECRETES ejaculate fluid,,,,,,
male reproductive system,pelvic plexus,parasympathetic nerve,UBERON:0004293,AS,,parasympathetic innervation@pelvic parasympathetic nerve INNERVATES corpus cavernosum,,,,,,
male reproductive system,pelvic plexus,parasympathetic nerve,UBERON:0004293,AS,,parasympathetic innervation@nan,,,,,,
male reproductive system,hypogastric nerve,sympathetic nerve,UBERON:0034729,AS,,sympathetic innervation@hypogastric nerve INNERVATES ejaculatory duct smooth muscle,,,,,,
male reproductive system,ejactulatory duct smooth muscle,,,Unknown,,ejaculatory duct contraction@nan,,,,,,
