Human Organ System,Major Organs,Lowest Structure,Lowest ID,Lowest Type,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
male reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,somatostatin production@parvocellular neuron SECRETES somatostatin,,,,,,
male reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,somatostatin production@parvocellular neuron SECRETES dopamine,,,,,,
male reproductive system,skeletal muscle,skeletal muscle fiber,CL:0008002,Unknown,,,,,,,,
male reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,,gonadotropin hormone releasing hormone production@parvicellular neuron SECRETES gnrh,,,,,
male reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,,gonadotropin hormone releasing hormone production@nan,,,,,
male reproductive system,hypothalamus,parvocellular neurosecretory cell,CL:1001505,Unknown,,gonadotropin hormone releasing hormone release@nan,,,,,,
male reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,luteinizing hormone production@anterior pituitary SECRETES luteinizing hormone,,,,,
male reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,luteinizing hormone release@nan,,,,,,
male reproductive system,pituitary gland,adenohypophysis,UBERON:0002196,Unknown,,,,,,,,
male reproductive system,adrenal gland,zona reticularis of adrenal gland,UBERON:0002055,Unknown,,,,androstenedione production@zona reticularis SECRETES androstenedione,,,,
male reproductive system,adipose tissue,white adipocyte,CL:0000448,Unknown,,,,peripheral aromatization@nan,,,,
male reproductive system,skeletal muscle,CL:0008002,,Unknown,,,,peripheral aromatization@nan,,,,
male reproductive system,skin,CL:0002551,,Unknown,,,,peripheral aromatization@nan,,,,
male reproductive system,testis,Leydig cell,CL:0000178,Unknown,,,testosterone production@leydig cell SECRETES testosterone,,,,,
male reproductive system,testis,Leydig cell,CL:0000178,Unknown,,,,,,,,
male reproductive system,testis,Leydig cell,CL:0000178,Unknown,,,,testosterone production@nan,,,,
male reproductive system,testis,Leydig cell,CL:0000178,Unknown,,,,,,,,
male reproductive system,testis,Leydig cell,CL:0000178,Unknown,,,,,,,,
male reproductive system,testis,Sertoli cell,CL:0000216,Unknown,,,,inhibin B production@sertoli cell SECRETES inhibin b,,,,
male reproductive system,testis,Sertoli cell,CL:0000216,Unknown,,,,anti-müllerian hormone production@sertoli cell SECRETES anti-mullerian hormone,,,,
male reproductive system,testis,Sertoli cell,CL:0000216,Unknown,,,,,spermatogenesis@sertoli cell GENERATES spermatozoa,,,
male reproductive system,testis,epididymis,UBERON:0001301,Unknown,,,,,maturation of spermatozoa@nan,,,
male reproductive system,testis,vas deferens,UBERON:0001000,Unknown,,,spermatozoa transport@spermatozoa MOVE FROM epididymis TO vas deferens AND FROM vas deferens TO seminal vesicle,,,,,
male reproductive system,testis,seminal vesicle,UBERON:0000998,Unknown,,,,,spermatozoa storage@seminal vesicle STORES spermatozoa,,,
male reproductive system,testis,seminal vesicle,UBERON:0000998,Unknown,,,,seminal plasma generation@seminal vesicle SECRETES seminal plasma,,,,
male reproductive system,prostate,prostate gland,UBERON:0002367,Unknown,,,dht secretion@prostate SECRETES dht,,,,,
male reproductive system,prostate,bulbo-urethral gland,UBERON:0002366,Unknown,,ejaculate fluid generation@bulbourethral gland SECRETES ejaculate fluid,,,,,,
male reproductive system,pelvic plexus,parasympathetic nerve,UBERON:0004293,Unknown,,parasympathetic innervation@pelvic parasympathetic nerve INNERVATES corpus cavernosum,,,,,,
male reproductive system,pelvic plexus,parasympathetic nerve,UBERON:0004293,Unknown,,parasympathetic innervation@nan,,,,,,
male reproductive system,hypogastric nerve,sympathetic nerve,UBERON:0034729,Unknown,,sympathetic innervation@hypogastric nerve INNERVATES ejaculatory duct smooth muscle,,,,,,
male reproductive system,ejactulatory duct smooth muscle,smooth muscle tissue layer of ejaculatory duct,UBERON:0015717,Unknown,,ejaculatory duct contraction@nan,,,,,,
male reproductive system,sensory pudendal nerve,pudendal nerve,UBERON:0011390,Unknown,sexual sensation@nan,,,,,,,
male reproductive system,motor pudendal nerve,pudendal nerve,UBERON:0011390,Unknown,penile innervation@motor pudendal nerve INNERVATES striated bulbospongiosus,,,,,,,
male reproductive system,corpus cavernosum,corpus cavernosum penis,UBERON:0004713,Unknown,,corpus cavernosa relaxation@nan,,,,,,
male reproductive system,cavernosal artery,deep artery of penis,UBERON:0008321,Unknown,,corpus cavernosum filling@cavernosal artery SUPPLIES corpus cavernosum,,,,,,
male reproductive system,corpus spongiosum,corpus spongiosum of penis,UBERON:0011183,Unknown,,corpus spongiosum dilation@nan,,,,,,
male reproductive system,perineal artery,perineal artery,UBERON:0001358,Unknown,,corpus spongiosum filling@perineal artery SUPPLIES corpus spongiosum,,,,,,
male reproductive system,deep dorsal vein,deep dorsal vein of penis,UBERON:0006656,Unknown,,corpus cavernosum draining@deep dorsal vein DRAINS corpus cavernosum,,,,,,
male reproductive system,perineal vein,perineal vein,UBERON:0001362,Unknown,,corpus spongiosum draining@perineal vein DRAINS corpus spongiosum,,,,,,
male reproductive system,motor pudendal nerve,pudendal nerve,UBERON:0011390,Unknown,,somatic innervation@motor pudendal nerve INNERVATES striated bulbospongiosus,,,,,,
male reproductive system,autonomic nerve,hypogastric nerve,UBERON:0005303,Unknown,,,,,,,,
male reproductive system,epididymis smooth muscle,epididymis smooth muscle,UBERON:0004835,Unknown,,contraction of ejaculatory apparatus@nan,,,,,,
male reproductive system,vas deferens smooth muscle,muscular coat of vas deferens,UBERON:0004224,Unknown,,contraction of ejaculatory apparatus@nan,,,,,,
male reproductive system,prostatic urethra,male urethra,UBERON:0001333,Unknown,,emission@seminal plasma MOVES FROM prostatic urethra TO penile urethra,,,,,,
