Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,renal cortex tubule,UBERON:0006853,thick ascending limb of loop of Henle,UBERON:0001291,kidney collecting duct epithelium,UBERON:0014388,,,,,,,kidney epithelial cell,CL:0002518,,,,,,Bicarbonate reabsorption@Lumina Tubular epithelial cell catalyzes filtered HCO₃⁻ into CO2,,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,renal cortex tubule,UBERON:0006853,thick ascending limb of loop of Henle,UBERON:0001291,kidney collecting duct epithelium,UBERON:0014388,,,,,,,kidney epithelial cell,CL:0002518,,,,,,Bicarbonate reabsorption@Basolateral NBCe1 (Na⁺/HCO₃⁻ cotransporter) increases plasma HCO₃⁻ (reclamation),,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,renal cortex tubule,UBERON:0006853,thick ascending limb of loop of Henle,UBERON:0001291,kidney collecting duct epithelium,UBERON:0014388,,,,,,,kidney epithelial cell,CL:0002518,,,,,,Bicarbonate reabsorption@Intracellular CA enzyme regenerates intracellular HCO₃⁻,,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,kidney collecting duct epithelium,UBERON:0014388,,,,,,,,,,,kidney collecting duct epithelial cell,CL:1000454,,,,,,"H⁺ secretion & HCO₃⁻ secretion@α-IC, secretes, H⁺；H⁺-ATPase, transports, H⁺； H⁺/K⁺-ATPase, exchanges, H⁺ and K⁺",,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,kidney collecting duct epithelium,UBERON:0014388,,,,,,,,,,,kidney collecting duct epithelial cell,CL:1000454,,,,,,"H⁺ secretion & HCO₃⁻ secretion@β-IC, secretes, HCO₃⁻",,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,kidney collecting duct epithelium,UBERON:0014388,,,,,,,,,,,kidney collecting duct epithelial cell,CL:0002518,,,,,,"Titratable acid@H⁺ + HPO₄²⁻, forms, H₂PO₄⁻",,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,renal cortex tubule,UBERON:0006853,,,,,,,,,,,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal straight tubule epithelial cell,CL:1000839,,,,Ammoniagenesis@Glutamine metabolism in PT – generates – NH₄⁺,Ammoniagenesis@Glutamine metabolism in PT – generates – NH₄⁺,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,renal cortex tubule,UBERON:0006853,,,,,,,,,,,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal straight tubule epithelial cell,CL:1000839,,,,Ammoniagenesis@Glutamine metabolism in PT – generates – new HCO₃⁻,Ammoniagenesis@Glutamine metabolism in PT – generates – new HCO₃⁻,,,
urinary system,Kidney,kidney,UBERON:0002113,nephron,UBERON:0001285,renal cortex tubule,UBERON:0006853,UBERON:0014388,NAN,,,,,,,,,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal straight tubule epithelial cell,CL:1000839,,,,Bicarbonate regeneration@NH₄⁺ excretion – generates – New HCO₃⁻,Bicarbonate regeneration@NH₄⁺ excretion – generates – New HCO₃⁻,,,
urinary system,Bladder,urinary bladder,UBERON:0001255,urinary bladder detrusor smooth muscle,UBERON_0000381,,,,,,,,,,,,,,,,,,Bladder filling reflex@Sympathetic – inhibits – detrusor,,,,,,
