Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,,Bicarbonate reabsorption@Lumina Tubular epithelial cell catalyzes filtered HCO₃⁻ into CO2,,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,,Bicarbonate reabsorption@Basolateral NBCe1 (Na⁺/HCO₃⁻ cotransporter) increases plasma HCO₃⁻ (reclamation),,,,
urinary system,Kidney,thick ascending limb of loop of Henle,UBERON:0001291,FTU,,,,Bicarbonate reabsorption@Intracellular CA enzyme regenerates intracellular HCO₃⁻,,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,"H⁺ secretion & HCO₃⁻ secretion@α-IC, secretes, H⁺；H⁺-ATPase, transports, H⁺； H⁺/K⁺-ATPase, exchanges, H⁺ and K⁺",,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,"H⁺ secretion & HCO₃⁻ secretion@β-IC, secretes, HCO₃⁻",,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,"Titratable acid@H⁺ + HPO₄²⁻, forms, H₂PO₄⁻",,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Ammoniagenesis@Glutamine metabolism in PT – generates – NH₄⁺,Ammoniagenesis@Glutamine metabolism in PT – generates – NH₄⁺,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Ammoniagenesis@Glutamine metabolism in PT – generates – new HCO₃⁻,Ammoniagenesis@Glutamine metabolism in PT – generates – new HCO₃⁻,,,
urinary system,Kidney,nephron,UBERON:0001285,FTU,,,,Bicarbonate regeneration@NH₄⁺ excretion – generates – New HCO₃⁻,Bicarbonate regeneration@NH₄⁺ excretion – generates – New HCO₃⁻,,,
urinary system,Bladder,urinary bladder,UBERON:0001255,AS,,Bladder filling reflex@Sympathetic – inhibits – detrusor,,,,,,
urinary system,Bladder,urinary bladder,UBERON:0001255,AS,,Bladder filling reflex@Sympathetic – contracts – contraction of internal sphincter,,,,,,
urinary system,Bladder,urinary bladder,UBERON:0001255,AS,,"Micturition reflex@Parasympathetic – leads to – detrusor contraction, sphincter relaxation",,,,,,
