CL_LABELS,CL_IDs,WPP_SOURCES
stem cell,CL:0000034,digestive-system-v1.0-draft-20251118 | integumentary system-v1.0-draft-20260106
hematopoietic stem cell,CL:0000037,immune and lymphatic system-v1.0-draft-20260106
fibroblast,CL:0000057,fascia-system-v1.0-draft-20251208
epithelial cell,CL:0000066,digestive-system-v1.0-draft-20251118 | immune and lymphatic system-v1.0-draft-20260106
T cell,CL:0000084,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
mast cell,CL:0000097,fascia-system-v1.0-draft-20251208
Motor neurons | motor neuron,CL:0000100,digestive-system-v1.0-draft-20251118 | muscular-system-v1 | nervous-system-v1
sensory neuron | sensory neuron of dorsal root gangli,CL:0000101,integumentary system-v1.0-draft-20260106 | nervous-system-v1
Endothelial cell | endothelial cell,CL:0000115,cardiovascular-system-v1 | endocrine-system-v1 | fascia-system-v1.0-draft-20251208 | integumentary system-v1.0-draft-20260106
astrocyte,CL:0000127,nervous-system-v1
oligodendrocyte,CL:0000128,nervous-system-v1
adipocyte,CL:0000136,fascia-system-v1.0-draft-20251208
melanocyte,CL:0000148,integumentary system-v1.0-draft-20260106
neuroendocrine cell,CL:0000165,immune and lymphatic system-v1.0-draft-20260106
type B cell of pancreas,CL:0000169,endocrine-system-v1
pancreatic A cell,CL:0000171,endocrine-system-v1
pancreatic D cell,CL:0000173,endocrine-system-v1
luteal cell,CL:0000175,female-reproductive-v
Hepatocyte | Hepatocytes | hepatocyte,CL:0000182,digestive-system-v1.0-draft-20251118 | endocrine-system-v1 | immune and lymphatic system-v1.0-draft-20260106
myofibroblast cell,CL:0000186,fascia-system-v1.0-draft-20251208
smooth muscle cell,CL:0000192,cardiovascular-system-v1 | digestive-system-v1.0-draft-20251118 | endocrine-system-v1 | integumentary system-v1.0-draft-20260106 | muscular-system-v1 | nervous-system-v1 | pulmonary-system-v1.0-draft-20251110
erythrocyte,CL:0000232,female-reproductive-v
platelet,CL:0000233,endocrine-system-v1
macrophage,CL:0000235,fascia-system-v1.0-draft-20251208 | immune and lymphatic system-v1.0-draft-20260106
B cell,CL:0000236,immune and lymphatic system-v1.0-draft-20260106
keratinocyte,CL:0000312,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
follicular dendritic cell,CL:0000442,immune and lymphatic system-v1.0-draft-20260106
dendritic cell,CL:0000451,immune and lymphatic system-v1.0-draft-20260106
Langerhans cell,CL:0000453,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
connective tissue type mast cell,CL:0000484,immune and lymphatic system-v1.0-draft-20260106
mucosal type mast cell,CL:0000485,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
CD4-positive helper T cell,CL:0000492,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
stromal cell,CL:0000499,immune and lymphatic system-v1.0-draft-20260106
theca cell,CL:0000503,female-reproductive-v
gastrin secreting cell,CL:0000509,endocrine-system-v1
afferent neuron,CL:0000526,nervous-system-v1
neuron,CL:0000540,digestive-system-v1.0-draft-20251118 | nervous-system-v1
lymphocyte,CL:0000542,immune and lymphatic system-v1.0-draft-20260106
T-helper 1 cell,CL:0000545,immune and lymphatic system-v1.0-draft-20260106
T-helper 2 cell,CL:0000546,immune and lymphatic system-v1.0-draft-20260106
alveolar macrophage,CL:0000583,fascia-system-v1.0-draft-20251208 | immune and lymphatic system-v1.0-draft-20260106
enterocyte,CL:0000584,digestive-system-v1.0-draft-20251118
"CD8-positive, alpha-beta T cell",CL:0000625,immune and lymphatic system-v1.0-draft-20260106
hepatic stellate cell,CL:0000632,immune and lymphatic system-v1.0-draft-20260106
basal cell,CL:0000646,integumentary system-v1.0-draft-20260106
kidney granular cell,CL:0000648,urinary-system-v1.0-draft-251115
spinous cell of epidermis,CL:0000649,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
podocyte,CL:0000653,urinary-system-v1.0-draft-251115
pericyte,CL:0000669,integumentary system-v1.0-draft-20260106
M cell of gut,CL:0000682,immune and lymphatic system-v1.0-draft-20260106
dopaminergic neuron,CL:0000700,digestive-system-v1.0-draft-20251118
leukocyte,CL:0000738,integumentary system-v1.0-draft-20260106
cardiac muscle cell,CL:0000746,cardiovascular-system-v1 | nervous-system-v1
erythroid lineage cell,CL:0000764,immune and lymphatic system-v1.0-draft-20260106
eosinophil,CL:0000771,immune and lymphatic system-v1.0-draft-20260106
Neutrophils | neutrophil,CL:0000775,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
plasmacytoid dendritic cell,CL:0000784,immune and lymphatic system-v1.0-draft-20260106
plasma cell,CL:0000786,immune and lymphatic system-v1.0-draft-20260106
memory B cell,CL:0000787,immune and lymphatic system-v1.0-draft-20260106
naive B cell,CL:0000788,immune and lymphatic system-v1.0-draft-20260106
"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,immune and lymphatic system-v1.0-draft-20260106
"double-positive, alpha-beta thymocyte",CL:0000809,immune and lymphatic system-v1.0-draft-20260106
mature NK T cell,CL:0000814,immune and lymphatic system-v1.0-draft-20260106
immature B cell,CL:0000816,immune and lymphatic system-v1.0-draft-20260106
precursor B cell,CL:0000817,immune and lymphatic system-v1.0-draft-20260106
pro-B cell,CL:0000826,immune and lymphatic system-v1.0-draft-20260106
germinal center B cell,CL:0000844,immune and lymphatic system-v1.0-draft-20260106
marginal zone B cell of spleen,CL:0000845,immune and lymphatic system-v1.0-draft-20260106
thymic macrophage,CL:0000866,immune and lymphatic system-v1.0-draft-20260106
lymph node subcapsular sinus macrophage,CL:0000887,immune and lymphatic system-v1.0-draft-20260106
"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,immune and lymphatic system-v1.0-draft-20260106
T-helper 17 cell,CL:0000899,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
"effector memory CD4-positive, alpha-beta T cell",CL:0000905,immune and lymphatic system-v1.0-draft-20260106
"CD8-positive, alpha-beta memory T cell",CL:0000909,immune and lymphatic system-v1.0-draft-20260106
immature NK T cell,CL:0000914,immune and lymphatic system-v1.0-draft-20260106 | integumentary system-v1.0-draft-20260106
lymphocyte of B lineage,CL:0000945,immune and lymphatic system-v1.0-draft-20260106
plasmablast,CL:0000980,immune and lymphatic system-v1.0-draft-20260106
IgA plasma cell,CL:0000987,immune and lymphatic system-v1.0-draft-20260106
conventional dendritic cell,CL:0000990,immune and lymphatic system-v1.0-draft-20260106
dermal dendritic cell,CL:0001006,integumentary system-v1.0-draft-20260106
"effector CD8-positive, alpha-beta T cell",CL:0001050,immune and lymphatic system-v1.0-draft-20260106
innate lymphoid cell,CL:0001065,immune and lymphatic system-v1.0-draft-20260106
group 2 innate lymphoid cell,CL:0001069,immune and lymphatic system-v1.0-draft-20260106
group 3 innate lymphoid cell,CL:0001071,immune and lymphatic system-v1.0-draft-20260106
T follicular helper cell,CL:0002038,immune and lymphatic system-v1.0-draft-20260106
pulmonary alveolar type 2 cell,CL:0002063,immune and lymphatic system-v1.0-draft-20260106 | pulmonary-system-v1.0-draft-20251110
pancreatic acinar cell,CL:0002064,digestive-system-v1.0-draft-20251118
enterocyte of epithelium of large intestine,CL:0002071,digestive-system-v1.0-draft-20251118
nodal myocyte,CL:0002072,digestive-system-v1.0-draft-20251118
interstitial cell of Cajal,CL:0002088,digestive-system-v1.0-draft-20251118
stromal cell of endometrium,CL:0002255,female-reproductive-v
type I cell of carotid body,CL:0002292,pulmonary-system-v1.0-draft-20251110
epithelial cell of proximal tubule,CL:0002306,urinary-system-v1.0-draft-251115
keratinocyte stem cell,CL:0002337,integumentary system-v1.0-draft-20260106
luminal cell of prostate epithelium,CL:0002340,immune and lymphatic system-v1.0-draft-20260106
early T lineage precursor,CL:0002425,immune and lymphatic system-v1.0-draft-20260106
mature CD4 single-positive thymocyte,CL:0002436,immune and lymphatic system-v1.0-draft-20260106
mature CD8 single-positive thymocyte,CL:0002437,immune and lymphatic system-v1.0-draft-20260106
hair germinal matrix cell,CL:0002562,integumentary system-v1.0-draft-20260106
iris pigment epithelial cell,CL:0002565,immune and lymphatic system-v1.0-draft-20260106
Schwann cell,CL:0002573,nervous-system-v1
retinal blood vessel endothelial cell,CL:0002585,immune and lymphatic system-v1.0-draft-20260106
skin fibroblast,CL:0002620,integumentary system-v1.0-draft-20260106
endothelial cell of high endothelial venule,CL:0002652,immune and lymphatic system-v1.0-draft-20260106
CD8aa(II) thymocyte,CL:0009069,immune and lymphatic system-v1.0-draft-20260106
medullary thymic epithelial cell type 3,CL:0009073,immune and lymphatic system-v1.0-draft-20260106
monocyte-derived dendritic cell,CL:0011031,immune and lymphatic system-v1.0-draft-20260106
sympathetic neuron,CL:0011103,fascia-system-v1.0-draft-20251208 | immune and lymphatic system-v1.0-draft-20260106
telocyte,CL:0017004,fascia-system-v1.0-draft-20251208
myoepithelial cell of sweat gland,CL:1000417,integumentary system-v1.0-draft-20260106
kidney collecting duct epithelial cell,CL:1000454,urinary-system-v1.0-draft-251115
melanocyte of skin,CL:1000458,integumentary system-v1.0-draft-20260106
kidney distal convoluted tubule epithelial cell,CL:1000849,dental-and-craniofacial-system-v1 | endocrine-system-v1 | skeletal-system-v1 | urinary-system-v1.0-draft-251115
macula densa epithelial cell,CL:1000850,urinary-system-v1.0-draft-251115
kidney efferent arteriole endothelial cell,CL:1001099,urinary-system-v1.0-draft-251115
kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,urinary-system-v1.0-draft-251115
kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,urinary-system-v1.0-draft-251115
kidney collecting duct principal cell,CL:1001431,urinary-system-v1.0-draft-251115
pancreas exocrine glandular cell,CL:1001599,endocrine-system-v1
central nervous system neuron,CL:2000029,pulmonary-system-v1.0-draft-20251110
splenic endothelial cell,CL:2000053,immune and lymphatic system-v1.0-draft-20260106
kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,urinary-system-v1.0-draft-251115
"lung resident memory CD8-positive, alpha-beta T cell",CL:4033039,immune and lymphatic system-v1.0-draft-20260106
onychocyte,CL:4033056,integumentary system-v1.0-draft-20260106
