AS,AS_ID
endometrium | myometrium | uterine cervix | uterus,UBERON: 0000995
uterine cervix | uterus,UBERON:0000002
adenohypophysis | pituitary gland,UBERON:0000007
connective tissue | lymph node | lymph node T cell domain | periungual skin,UBERON:0000029
fibroblast | tendon,UBERON:0000043
ureter | ureter smooth muscle,UBERON:0000056
internal urethral sphincter | urethra,UBERON:0000057
arterial system | kidney | renal glomerulus,UBERON:0000074
ampulla of fallopian tube | morula,UBERON:0000085
blastocyst | trophoblast,UBERON:0000088
lung | lung connective tissue,UBERON:0000114
enterocyte | enterocyte of epithelium of large intestine | goblet cell | intestine | stem cell,UBERON:0000160
mouth | orbicularis oris muscle | parotid gland | saliva-secreting gland | sublingual gland | submandibular gland | zygomaticus major muscle,UBERON:0000165
blood | blood plasma,UBERON:0000178
ampulla of fallopian tube | blastula,UBERON:0000307
breast | intercostal nerve | mammary gland | mammary gland connective tissue | mammary gland smooth muscle,UBERON:0000310
connective tissue | mucosa,UBERON:0000344
blastocyst | trophoblast,UBERON:0000358
apocrine sweat gland | skin apocrine gland,UBERON:0000382
epiglottis | taste bud,UBERON:0000388
eccrine sweat gland | sympathetic trunk,UBERON:0000407
dermal papilla | hair follicle,UBERON:0000412
myoepithelium | skin apocrine gland,UBERON:0000420
eccrine sweat gland | skin of body | stratum compactum of dermis | sympathetic trunk,UBERON:0000423
major vestibular gland | mammalian vulva,UBERON:0000460
seminal vesicle | seminiferous tubule of testis | testis,UBERON:0000473
epithelium | nail,UBERON:0000483
interstitial fluid,UBERON:0000913
mucous cell of stomach | parietal cell | stem cell | stomach,UBERON:0000945
aorta | arterial system,UBERON:0000947
cardiac muscle tissue of atrium | cardiac muscle tissue of ventricle | cardiac right atrium | heart | heart left ventricle | heart right ventricle | left cardiac atrium | sinoatrial node,UBERON:0000948
neck | sternocleidomastoid,UBERON:0000974
knee | leg,UBERON:0000978
axillary vein | venous system,UBERON:0000985
corpus cavernosum penis | corpus spongiosum of penis | ischiocavernosus muscle | male bulbospongiosus muscle | penis,UBERON:0000989
corpus luteum | ovarian follicle | ovary,UBERON:0000992
major vestibular gland | mammalian vulva,UBERON:0000997
seminal vesicle | testis,UBERON:0000998
ejaculatory duct | smooth muscle tissue layer of ejaculatory duct,UBERON:0000999
muscular coat of vas deferens | vas deferens,UBERON:0001000
epidermal-dermal junction | hair follicle | hair follicle bulge | skin epidermis | skin of body,UBERON:0001003
bronchus | respiratory airway | trachea,UBERON:0001005
digestive enzyme secreting cell | digestive system,UBERON:0001007
mouth | saliva-secreting gland,UBERON:0001044
inferior vena cava | venous system,UBERON:0001072
external jugular vein | venous system,UBERON:0001101
cephalic vein | venous system,UBERON:0001106
intercostal muscle | thoracic cavity,UBERON:0001111
neck | sternocleidomastoid,UBERON:0001128
biceps femoris | clitoris | female reproductive system | lung | perineal muscle | rectus femoris | sartorius muscle | semimembranosus muscle | semitendinosus | skeletal muscle tissue | vastus intermedius | vastus lateralis | vastus medialis,UBERON:0001134
hepatic portal system | portal venous system | superior mesenteric vein,UBERON:0001138
right renal vein | venous system,UBERON:0001141
left renal vein | venous system,UBERON:0001142
hepatic vein | venous system,UBERON:0001143
arterial system | superior mesenteric artery,UBERON:0001182
arterial system | inferior mesenteric artery,UBERON:0001183
arterial system | right renal artery,UBERON:0001185
arterial system | left renal artery,UBERON:0001186
arterial system | left gastric artery,UBERON:0001192
arterial system | splenic artery,UBERON:0001194
arterial system | middle colic artery,UBERON:0001196
arterial system | ileocolic artery,UBERON:0001197
Peyer's Patches | immune system,UBERON:0001211
hepatic portal system | inferior mesenteric vein,UBERON:0001215
hepatic portal system | middle colic vein,UBERON:0001218
hepatic portal system | ileocolic vein,UBERON:0001219
adrenal cortex | zona fasciculata of adrenal gland | zona glomerulosa of adrenal gland | zona reticularis of adrenal gland,UBERON:0001235
adrenal medulla | zona reticularis of adrenal gland,UBERON:0001236
urinary bladder,UBERON:0001255
kidney | proximal convoluted tubule,UBERON:0001287
endometrium | uterus,UBERON:0001295
myometrium | uterus,UBERON:0001296
epididymis | epididymis smooth muscle,UBERON:0001301
ovarian follicle | ovary,UBERON:0001305
male urethra | male urethral meatus,UBERON:0001333
ischiocavernosus muscle | penis,UBERON:0001339
seminiferous tubule of testis | testis,UBERON:0001343
artery | perineal artery,UBERON:0001358
femoral vein | venous system,UBERON:0001361
perineal vein | vein,UBERON:0001362
biceps femoris | sartorius muscle | skeletal muscle tissue,UBERON:0001374
semitendinosus | skeletal muscle tissue,UBERON:0001375
rectus femoris | skeletal muscle tissue,UBERON:0001378
skeletal muscle tissue | vastus lateralis,UBERON:0001379
skeletal muscle tissue | vastus medialis,UBERON:0001380
semimembranosus muscle | skeletal muscle tissue,UBERON:0001381
arterial system | brachial artery,UBERON:0001398
arterial system | radial artery,UBERON:0001404
arterial system | ulnar artery,UBERON:0001406
basilic vein | venous system,UBERON:0001411
brachial vein | venous system,UBERON:0001413
bone tissue | skeletal system,UBERON:0001434
face | orbicularis oculi muscle,UBERON:0001456
knee | leg,UBERON:0001465
articular capsule,UBERON:0001484
arch of aorta | baroreceptor,UBERON:0001508
arterial system | descending aorta,UBERON:0001514
arterial system | brachiocephalic artery,UBERON:0001529
arterial system | right common carotid artery plus branches,UBERON:0001531
arterial system | right subclavian artery,UBERON:0001534
arterial system | left common carotid artery plus branches,UBERON:0001536
anterior tibial artery | arterial system,UBERON:0001537
arterial system | posterior tibial artery,UBERON:0001538
popliteal vein | venous system,UBERON:0001544
anterior tibial vein | venous system,UBERON:0001545
posterior tibial vein | venous system,UBERON:0001546
inferior pharyngeal constrictor | pharynx,UBERON:0001570
genioglossus muscle | tongue,UBERON:0001571
hyoglossus muscle | tongue,UBERON:0001572
styloglossus | tongue,UBERON:0001573
intrinsic muscle of tongue | tongue,UBERON:0001576
face | orbicularis oculi muscle,UBERON:0001578
arterial system | left subclavian artery,UBERON:0001584
anterior vena cava | venous system,UBERON:0001585
internal jugular vein | venous system,UBERON:0001586
subclavian vein | venous system,UBERON:0001587
jaw region | masseter muscle,UBERON:0001597
jaw region | temporalis muscle,UBERON:0001598
medial rectus extraocular muscle | orbit of skull,UBERON:0001602
lateral rectus extra-ocular muscle | orbit of skull,UBERON:0001603
levator palpebrae superioris | upper eyelid,UBERON:0001604
iris | sphincter pupillae,UBERON:0001607
carotid body | chemoreceptor,UBERON:0001629
artery | perineal artery,UBERON:0001637
perineal vein | vein,UBERON:0001638
sagittal sinus | superior sagittal sinus,UBERON:0001642
cranial nerve | facial nerve,UBERON:0001647
cranial nerve | glossopharyngeal nerve,UBERON:0001649
bone marrow | cranial skeletal system | mandible,UBERON:0001684
inferior oblique extraocular muscle | interior rectus extraocular muscle | lacrimal gland | lateral rectus extra-ocular muscle | medial rectus extraocular muscle | orbit of skull | superior oblique extraocular muscle | superior rectus extraocular muscle,UBERON:0001697
epithelium | nail,UBERON:0001705
levator palpebrae superioris | upper eyelid,UBERON:0001712
genioglossus muscle | hyoglossus muscle | intrinsic muscle of tongue | styloglossus | tongue,UBERON:0001723
anterior part of tongue | epiglottis | posterior part of tongue | taste bud,UBERON:0001727
nociceptor nerve ending | oropharynx,UBERON:0001729
mouth | mouth floor | submandibular gland,UBERON:0001736
laryngeal intrinsic muscle | larynx,UBERON:0001737
lymphoid tissue,UBERON:0001744
cranial nerve | vagus nerve,UBERON:0001759
iris | sphincter pupillae,UBERON:0001769
bronchus connective tissue | ciliary epithelium | respiratory system connective tissue,UBERON:0001778
cranial nerve | facial nerve | glossopharyngeal nerve | vagus nerve,UBERON:0001785
lumbosacral nerve plexus | sacral nerve plexus,UBERON:0001815
lacrimal gland | orbit of skull,UBERON:0001817
skin of body | sweat gland,UBERON:0001820
glandular epithelium | pilosebaceous unit | sebaceous gland | sebum | tail base gland,UBERON:0001821
mouth | parotid gland,UBERON:0001831
mouth | mouth floor | sublingual gland,UBERON:0001832
sebaceous gland | sebum,UBERON:0001866
choroid plexus | fourth ventricle | left lateral ventricle | right lateral ventricle | third ventricle,UBERON:0001886
epithalamus | pineal body,UBERON:0001899
epithalamus | pineal body,UBERON:0001905
breast | mammary gland,UBERON:0001911
mucosa-associated lymphoid tissue,UBERON:0001961
blood | blood plasma,UBERON:0001969
arterial system | capillary | hepatic portal system | vascular system | venous system,UBERON:0001982
placenta | uterine spiral artery,UBERON:0001987
papillary layer of dermis | skin of body,UBERON:0001992
arterial system | pulmonary artery,UBERON:0002012
inferior hypogastric nerve plexus | parasympathetic nerve,UBERON:0002014
pulmonary vein | venous system,UBERON:0002016
hepatic portal system | portal vein,UBERON:0002017
alveolus of lung | cycling endothelial cell of lymphatic vessel | lung | lung connective tissue | lung elastic tissue | lung endothelium | pulmonary alveolus epithelium | pulmonary capillary | skeletal muscle tissue,UBERON:0002048
adrenal cortex | zona glomerulosa of adrenal gland,UBERON:0002053
adrenal cortex | zona fasciculata of adrenal gland,UBERON:0002054
adrenal cortex | adrenal medulla | zona reticularis of adrenal gland,UBERON:0002055
arterial system | femoral artery,UBERON:0002060
dermis | skin of body,UBERON:0002067
anagen hair | dermal papilla | hair follicle | hair follicle bulge | hair follicle cell | hair inner root sheath | hair outer root sheath | hair shaft | skin epidermis | skin nerve field | telogen hair | vellus hair,UBERON:0002073
hair follicle | hair shaft,UBERON:0002074
cardiac right atrium | heart | sinoatrial node,UBERON:0002078
heart | left cardiac atrium,UBERON:0002079
heart | heart right ventricle,UBERON:0002080
heart | heart left ventricle,UBERON:0002084
basement membrane of epithelium | dermis | eccrine sweat gland | granulation tissue | papillary layer of dermis | pilosebaceous unit | skin epidermis | skin of body | stratified squamous epithelium | superficial lymphatic vessel | sweat gland,UBERON:0002097
digestive enzyme secreting cell | enterocyte of epithelium of large intestine | liver | mesenchymal stem cell of apical papilla,UBERON:0002107
Small intestine | small intestine,UBERON:0002108
epithelial cell | gallbladder,UBERON:0002110
glomerular capillary | kidney | kidney insterstitium | kidney vasculature | peritubular capillary | proximal convoluted tubule | renal afferent arteriole | renal glomerulus | renal glomerulus vasculature | renal lymph node | renal tubule,UBERON:0002113
bronchus | respiratory airway,UBERON:0002185
adenohypophysis | pituitary gland,UBERON:0002196
external intercostal muscle | intercostal muscle | internal intercostal muscle | thoracic cavity,UBERON:0002224
arterial system | popliteal artery,UBERON:0002250
choroid plexus | third ventricle,UBERON:0002286
brain ventricle | midbrain cerebral aqueduct,UBERON:0002289
alveolus of lung | lung,UBERON:0002299
cardiac right atrium | heart | sinoatrial node,UBERON:0002351
atrioventricular node | cardiac muscle tissue of interatrial septum,UBERON:0002352
bundle of His | cardiac muscle tissue of interventricular septum,UBERON:0002353
cardiac Purkinje fiber | cardiac muscle tissue of ventricle,UBERON:0002354
arachnoid mater | arachnoid villus,UBERON:0002362
bulbo-urethral gland | prostate gland,UBERON:0002366
bulbo-urethral gland | prostate gland,UBERON:0002367
bone marrow | bone tissue | mandible,UBERON:0002371
male bulbospongiosus muscle | perineal muscle | skeletal muscle tissue,UBERON:0002379
trapezius muscle | upper back muscle,UBERON:0002380
Endothelial cell | collection of collagen fibrils | connective tissue | connective tissue cell | fibroblast | lymph node | mucosa,UBERON:0002384
internal intercostal muscle | thoracic cavity,UBERON:0002403
Peyer's Patches | immune system | luminal cell of prostate epithelium | lymphoid nodule,UBERON:0002405
clitoris | corpus cavernosum clitoridis | deep dorsal vein of clitoris | dorsal artery of clitoris | female reproductive system,UBERON:0002411
cartilage tissue,UBERON:0002418
choroid plexus | fourth ventricle | fourth ventricle lateral aperture,UBERON:0002422
bone marrow | bone tissue | cranial skeletal system | skeletal system,UBERON:0002481
corpus luteum | ovary,UBERON:0002512
elastic tissue,UBERON:0002521
thoracic nerve | thoracic spinal cord,UBERON:0003038
respiratory airway | trachea,UBERON:0003126
bundle of His | cardiac muscle tissue of interventricular septum,UBERON:0003383
kidney | renal lymph node,UBERON:0003425
pelvis nerve | pudendal nerve,UBERON:0003444
ciliary epithelium | respiratory system connective tissue,UBERON:0003570
breast | mammary gland connective tissue,UBERON:0003584
bronchus connective tissue | ciliary epithelium,UBERON:0003592
lung | lung elastic tissue,UBERON:0003615
dentition | nociceptor nerve ending,UBERON:0003672
mouth floor | sublingual gland | submandibular gland,UBERON:0003679
baroreceptor | carotid sinus,UBERON:0003708
hepatic portal system | splenic vein,UBERON:0003713
thoracic nerve | thoracic spinal cord,UBERON:0003726
breast | intercostal nerve,UBERON:0003727
fallopian tube | fimbriae of fallopian tube | oviduct epithelium,UBERON:0003889
fourth ventricle | fourth ventricle lateral aperture,UBERON:0003992
interventricular foramen of CNS | ventricular system of central nervous system,UBERON:0003993
arch of aorta | baroreceptor | carotid sinus | vascular system,UBERON:0004019
brain ventricle | midbrain cerebral aqueduct,UBERON:0004086
kidney | renal glomerulus vasculature,UBERON:0004190
muscular coat of vas deferens | vas deferens,UBERON:0004224
breast | mammary gland smooth muscle,UBERON:0004235
blood vessel smooth muscle | smooth muscle cell,UBERON:0004237
inferior hypogastric nerve plexus | parasympathetic nerve,UBERON:0004293
sympathetic nerve trunk | thoracic sympathetic nerve trunk,UBERON:0004295
arterial system | cerebral artery,UBERON:0004449
cardiac muscle tissue of atrium | heart,UBERON:0004490
atrioventricular node | cardiac muscle tissue of interatrial septum,UBERON:0004491
anterior tibial artery | aorta | arterial system | brachial artery | brachiocephalic artery | capillary | celiac trunk | cerebral artery | common hepatic artery | descending aorta | femoral artery | gastroduodenal artery | ileocolic artery | iliac artery | inferior mesenteric artery | left colic artery | left common carotid artery plus branches | left gastric artery | left gastroepiploic artery | left hepatic artery | left renal artery | left subclavian artery | middle colic artery | popliteal artery | posterior tibial artery | proper hepatic artery | pulmonary arteriole | pulmonary artery | pulmonary capillary | radial artery | renal afferent arteriole | renal efferent arteriole | renal glomerulus | right colic artery | right common carotid artery plus branches | right gastric artery | right gastroepiploic artery | right hepatic artery | right renal artery | right subclavian artery | sagittal sinus | sigmoid artery | splenic artery | superficial palmar arch | superior mesenteric artery | ulnar artery | vascular system,UBERON:0004572
anterior tibial vein | anterior vena cava | axillary vein | basilic vein | brachial vein | capillary | cephalic vein | external jugular vein | femoral vein | hepatic vein | iliac vein | inferior vena cava | internal jugular vein | kidney arcuate vein | left gastric vein | left gastroepiploic vein | left renal vein | popliteal vein | portal venous system | posterior tibial vein | pulmonary vein | pulmonary venule | renal interlobular vein | right gastric vein | right gastroepiploic vein | right renal vein | subclavian vein | superior mesenteric vein | vascular system | venous system,UBERON:0004582
arterial system | kidney | renal afferent arteriole,UBERON:0004639
arterial system | renal efferent arteriole,UBERON:0004640
corpus cavernosum penis | penis,UBERON:0004713
kidney arcuate vein | venous system,UBERON:0004719
fallopian tube | oviduct epithelium,UBERON:0004804
lung | pulmonary alveolus epithelium,UBERON:0004821
epididymis | epididymis smooth muscle,UBERON:0004835
sympathetic nerve trunk | thoracic sympathetic nerve trunk,UBERON:0004863
internal urethral sphincter | urethra,UBERON:0004918
renal interlobular vein | venous system,UBERON:0005168
kidney | kidney insterstitium,UBERON:0005215
kidney | peritubular capillary,UBERON:0005272
interventricular foramen of CNS | ventricular system of central nervous system,UBERON:0005281
autonomic nerve | hypogastric nerve | sympathetic nerve,UBERON:0005303
arterial system | common hepatic artery,UBERON:0005436
external intercostal muscle | thoracic cavity,UBERON:0005441
arterial system | iliac artery,UBERON:0005609
iliac vein | venous system,UBERON:0005610
