AS_ID,WPP_LABELS,WPP_SOURCES
UBERON:0000007,adenohypophysis | pituitary gland,endocrine-system-v1
UBERON:0000011,parasympathetic nervous system | parasymphathetic nerve,nervous-system-v1
UBERON:0000013,sympathetic nerve | sympathetic nervous system,nervous-system-v1
UBERON:0000033,head | neck,nervous-system-v1
UBERON:0000043,fibroblast | tendon,fascia-system-v1.0-draft-20251208
UBERON:0000057,external urethral sphincter | internal urethral sphincter | urethra,male-reproductive-system-v1 | nervous-system-v1
UBERON:0000085,ampulla of fallopian tube | morula,female-reproductive-v
UBERON:0000088,blastocyst | trophoblast,female-reproductive-v
UBERON:0000160,enterocyte | enterocyte of epithelium of large intestine | goblet cell | intestine | stem cell,digestive-system-v1.0-draft-20251118
UBERON:0000307,ampulla of fallopian tube | blastula,female-reproductive-v
UBERON:0000310,breast | intercostal nerve | mammary gland | mammary gland connective tissue | mammary gland smooth muscle,female-reproductive-v
UBERON:0000325,gastric gland | stomach,nervous-system-v1
UBERON:0000344,connective tissue | mucosa,immune and lymphatic system-v1.0-draft-20260106
UBERON:0000358,blastocyst | trophoblast,female-reproductive-v
UBERON:0000382,apocrine sweat gland | skin apocrine gland,integumentary system-v1.0-draft-20260106
UBERON:0000388,epiglottis | taste bud,nervous-system-v1
UBERON:0000407,eccrine sweat gland | sympathetic trunk,integumentary system-v1.0-draft-20260106
UBERON:0000420,myoepithelium | skin apocrine gland,integumentary system-v1.0-draft-20260106
UBERON:0000460,major vestibular gland | mammalian vulva,female-reproductive-v
UBERON:0000473,seminal vesicle | seminiferous tubule of testis | testis,male-reproductive-system-v1
UBERON:0000483,epithelium | nail,integumentary system-v1.0-draft-20260106
UBERON:0000913,interstitial fluid,fascia-system-v1.0-draft-20251208
UBERON:0000974,head | neck | sternocleidomastoid,nervous-system-v1
UBERON:0000989,corpus cavernosum penis | corpus spongiosum of penis | ischiocavernosus muscle | male bulbospongiosus muscle | penis,male-reproductive-system-v1
UBERON:0000997,major vestibular gland | mammalian vulva,female-reproductive-v
UBERON:0000998,seminal vesicle | testis,male-reproductive-system-v1
UBERON:0000999,ejaculatory duct | smooth muscle tissue layer of ejaculatory duct,male-reproductive-system-v1
UBERON:0001000,muscular coat of vas deferens | vas deferens,male-reproductive-system-v1
UBERON:0001005,bronchus | respiratory airway | trachea,pulmonary-system-v1.0-draft-20251110
UBERON:0001103,diaphragm | respiratory system muscle,nervous-system-v1
UBERON:0001111,intercostal muscle | thoracic cavity,pulmonary-system-v1.0-draft-20251110
UBERON:0001134,biceps femoris | clitoris | female reproductive system | lung | muscle spindle | perineal muscle | rectus femoris | sartorius muscle | semimembranosus muscle | semitendinosus | skeletal muscle tissue | vastus intermedius | vastus lateralis | vastus medialis,female-reproductive-v | muscular-system-v1 | nervous-system-v1 | pulmonary-system-v1.0-draft-20251110
UBERON:0001143,hepatic vein | venous system,cardiovascular-system-v1
UBERON:0001211,Peyer's Patches | immune system,immune and lymphatic system-v1.0-draft-20260106
UBERON:0001235,adrenal cortex | zona fasciculata of adrenal gland | zona glomerulosa of adrenal gland | zona reticularis of adrenal gland,endocrine-system-v1 | female-reproductive-v | male-reproductive-system-v1
UBERON:0001236,adrenal medulla | zona reticularis of adrenal gland,female-reproductive-v
UBERON:0001287,kidney | proximal convoluted tubule,dental-and-craniofacial-system-v1 | skeletal-system-v1
UBERON:0001301,epididymis | epididymis smooth muscle,male-reproductive-system-v1
UBERON:0001333,male urethra | male urethral meatus,male-reproductive-system-v1
UBERON:0001343,seminiferous tubule of testis | testis,male-reproductive-system-v1
UBERON:0001456,face | orbicularis oculi muscle,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001484,articular capsule,fascia-system-v1.0-draft-20251208
UBERON:0001570,inferior pharyngeal constrictor | pharynx,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001573,styloglossus | tongue,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001604,levator palpebrae superioris | upper eyelid,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001607,iris | sphincter pupillae,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001629,carotid body | chemoreceptor,nervous-system-v1
UBERON:0001637,artery | perineal artery,male-reproductive-system-v1
UBERON:0001638,perineal vein | vein,male-reproductive-system-v1
UBERON:0001691,Meissner's corpuscle | Merkel nerve ending | external ear,nervous-system-v1
UBERON:0001697,inferior oblique extraocular muscle | interior rectus extraocular muscle | lacrimal gland | lateral rectus extra-ocular muscle | medial rectus extraocular muscle | orbit of skull | superior oblique extraocular muscle | superior rectus extraocular muscle,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001705,epithelium | nail,integumentary system-v1.0-draft-20260106
UBERON:0001709,Meissner's corpuscle | Merkel nerve ending | upper jaw region,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001710,Meissner's corpuscle | Merkel nerve ending | lower jaw region,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001712,levator palpebrae superioris | upper eyelid,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001727,anterior part of tongue | epiglottis | posterior part of tongue | taste bud,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001729,nociceptor nerve ending | oropharynx,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001737,laryngeal intrinsic muscle | larynx,nervous-system-v1
UBERON:0001744,lymphoid tissue,immune and lymphatic system-v1.0-draft-20260106
UBERON:0001756,Meissner's corpuscle | Merkel nerve ending | middle ear | stapedius muscle | tensor tympani,nervous-system-v1
UBERON:0001815,lumbosacral nerve plexus | sacral nerve plexus,female-reproductive-v | male-reproductive-system-v1
UBERON:0001816,autonomic nerve plexus | hypogastric nerve,nervous-system-v1
UBERON:0001817,lacrimal gland | orbit of skull,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0001844,cervical spinal cord | phrenic nerve,nervous-system-v1
UBERON:0001866,sebaceous gland | sebum,integumentary system-v1.0-draft-20260106
UBERON:0001875,globus pallidus | medial globus pallidus,nervous-system-v1
UBERON:0001886,choroid plexus | fourth ventricle | left lateral ventricle | right lateral ventricle | third ventricle,nervous-system-v1
UBERON:0001969,blood | blood plasma,female-reproductive-v
UBERON:0002017,hepatic portal system | portal vein,cardiovascular-system-v1
UBERON:0002019,accessory XI nerve | cranial nerve,nervous-system-v1
UBERON:0002045,cuneate nucleus | medulla oblongata,nervous-system-v1
UBERON:0002053,adrenal cortex | zona glomerulosa of adrenal gland,endocrine-system-v1
UBERON:0002054,adrenal cortex | zona fasciculata of adrenal gland,endocrine-system-v1
UBERON:0002055,adrenal cortex | adrenal medulla | zona reticularis of adrenal gland,endocrine-system-v1 | female-reproductive-v | male-reproductive-system-v1
UBERON:0002060,arterial system | femoral artery,cardiovascular-system-v1
UBERON:0002110,epithelial cell | gallbladder,digestive-system-v1.0-draft-20251118
UBERON:0002196,adenohypophysis | pituitary gland,endocrine-system-v1
UBERON:0002224,external intercostal muscle | intercostal muscle | internal intercostal muscle | thoracic cavity,pulmonary-system-v1.0-draft-20251110
UBERON:0002244,lung | thoracic cavity,nervous-system-v1
UBERON:0002298,brainstem | substantia nigra,nervous-system-v1
UBERON:0002354,cardiac Purkinje fiber | cardiac muscle tissue of ventricle,cardiovascular-system-v1
UBERON:0002362,arachnoid mater | arachnoid villus,nervous-system-v1
UBERON:0002366,bulbo-urethral gland | prostate gland,male-reproductive-system-v1
UBERON:0002411,clitoris | corpus cavernosum clitoridis | deep dorsal vein of clitoris | dorsal artery of clitoris | female reproductive system,female-reproductive-v
UBERON:0002418,cartilage tissue,fascia-system-v1.0-draft-20251208
UBERON:0002481,bone marrow | bone tissue | cranial skeletal system | skeletal system,dental-and-craniofacial-system-v1 | endocrine-system-v1 | skeletal-system-v1
UBERON:0002521,elastic tissue,fascia-system-v1.0-draft-20251208
UBERON:0002550,anterior hypothalamic region | hypothalamus,nervous-system-v1
UBERON:0002748,medial lemniscus of medulla | medulla oblongata,nervous-system-v1
UBERON:0002770,posterior hypothalamic region | sympathetic nerve,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0003425,kidney | renal lymph node,urinary-system-v1.0-draft-251115
UBERON:0003444,pelvis nerve | pudendal nerve,female-reproductive-v | male-reproductive-system-v1
UBERON:0003570,ciliary epithelium | respiratory system connective tissue,immune and lymphatic system-v1.0-draft-20260106
UBERON:0003584,breast | mammary gland connective tissue,female-reproductive-v
UBERON:0003592,bronchus connective tissue | ciliary epithelium,immune and lymphatic system-v1.0-draft-20260106
UBERON:0003615,lung | lung elastic tissue,pulmonary-system-v1.0-draft-20251110
UBERON:0003672,dentition | nociceptor nerve ending,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0003679,mouth floor | sublingual gland | submandibular gland,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0003700,jaw region | temporomandibular joint,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0003708,baroreceptor | carotid sinus,nervous-system-v1
UBERON:0003718,muscle spindle | skeletal muscle tissue,nervous-system-v1
UBERON:0003719,Pacinian corpuscle | dermis,nervous-system-v1
UBERON:0003727,breast | intercostal nerve,female-reproductive-v
UBERON:0003831,diaphragm | respiratory system muscle,nervous-system-v1
UBERON:0003992,fourth ventricle | fourth ventricle lateral aperture,nervous-system-v1
UBERON:0003993,interventricular foramen of CNS | ventricular system of central nervous system,nervous-system-v1
UBERON:0004019,arch of aorta | baroreceptor | carotid sinus | vascular system,cardiovascular-system-v1 | nervous-system-v1
UBERON:0004224,muscular coat of vas deferens | vas deferens,male-reproductive-system-v1
UBERON:0004235,breast | mammary gland smooth muscle,female-reproductive-v
UBERON:0004295,sympathetic nerve trunk | thoracic sympathetic nerve trunk,male-reproductive-system-v1
UBERON:0004449,arterial system | cerebral artery,cardiovascular-system-v1
UBERON:0004490,cardiac muscle tissue of atrium | heart,cardiovascular-system-v1
UBERON:0004572,anterior tibial artery | aorta | arterial system | blood | brachial artery | brachiocephalic artery | capillary | celiac trunk | cerebral artery | common hepatic artery | descending aorta | femoral artery | gastroduodenal artery | ileocolic artery | iliac artery | inferior mesenteric artery | left colic artery | left common carotid artery plus branches | left gastric artery | left gastroepiploic artery | left hepatic artery | left renal artery | left subclavian artery | middle colic artery | popliteal artery | posterior tibial artery | proper hepatic artery | pulmonary arteriole | pulmonary artery | pulmonary capillary | radial artery | renal afferent arteriole | renal efferent arteriole | renal glomerulus | right colic artery | right common carotid artery plus branches | right gastric artery | right gastroepiploic artery | right hepatic artery | right renal artery | right subclavian artery | sagittal sinus | sigmoid artery | splenic artery | superficial palmar arch | superior mesenteric artery | ulnar artery | vascular system,cardiovascular-system-v1 | nervous-system-v1
UBERON:0004582,anterior tibial vein | anterior vena cava | axillary vein | basilic vein | brachial vein | capillary | cephalic vein | external jugular vein | femoral vein | hepatic vein | iliac vein | inferior vena cava | internal jugular vein | kidney arcuate vein | left gastric vein | left gastroepiploic vein | left renal vein | popliteal vein | portal venous system | posterior tibial vein | pulmonary vein | pulmonary venule | renal interlobular vein | right gastric vein | right gastroepiploic vein | right renal vein | subclavian vein | superior mesenteric vein | vascular system | venous system,cardiovascular-system-v1 | nervous-system-v1
UBERON:0004713,corpus cavernosum penis | penis,male-reproductive-system-v1
UBERON:0004821,lung | pulmonary alveolus epithelium,pulmonary-system-v1.0-draft-20251110
UBERON:0004835,epididymis | epididymis smooth muscle,male-reproductive-system-v1
UBERON:0004863,sympathetic nerve trunk | thoracic sympathetic nerve trunk,male-reproductive-system-v1
UBERON:0004918,internal urethral sphincter | urethra,male-reproductive-system-v1
UBERON:0004919,external urethral sphincter | urethra,nervous-system-v1
UBERON:0005281,interventricular foramen of CNS | ventricular system of central nervous system,nervous-system-v1
UBERON:0005609,arterial system | iliac artery,cardiovascular-system-v1
UBERON:0005610,iliac vein | venous system,cardiovascular-system-v1
