Human Organ System,Major Organs,Lowest Structure,Lowest ID,Lowest Type,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
urinary system,Kidney,kidney epithelial cell,CL:0002518,Unknown,,,,Bicarbonate reabsorption@Lumina Tubular epithelial cell catalyzes filtered HCO₃⁻ into CO2,,,,
urinary system,Kidney,kidney epithelial cell,CL:0002518,Unknown,,,,Bicarbonate reabsorption@Basolateral NBCe1 (Na⁺/HCO₃⁻ cotransporter) increases plasma HCO₃⁻ (reclamation),,,,
urinary system,Kidney,kidney epithelial cell,CL:0002518,Unknown,,,,Bicarbonate reabsorption@Intracellular CA enzyme regenerates intracellular HCO₃⁻,,,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:1000454,CT,,,,"H⁺ secretion & HCO₃⁻ secretion@α-IC, secretes, H⁺；H⁺-ATPase, transports, H⁺； H⁺/K⁺-ATPase, exchanges, H⁺ and K⁺",,,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:1000454,CT,,,,"H⁺ secretion & HCO₃⁻ secretion@β-IC, secretes, HCO₃⁻",,,,
urinary system,Kidney,kidney collecting duct epithelial cell,CL:0002518,Unknown,,,,"Phosphate buffering@H⁺ + HPO₄²⁻, forms, H₂PO₄⁻",,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,Ammoniagenesis@Glutamine metabolism in PT – generates – NH₄⁺,Ammoniagenesis@Glutamine metabolism in PT – generates – NH₄⁺,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,Ammoniagenesis@Glutamine metabolism in PT – generates – new HCO₃⁻,Ammoniagenesis@Glutamine metabolism in PT – generates – new HCO₃⁻,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,Bicarbonate regeneration@NH₄⁺ excretion – generates – New HCO₃⁻,Bicarbonate regeneration@NH₄⁺ excretion – generates – New HCO₃⁻,,,
urinary system,Bladder,urinary bladder detrusor smooth muscle,UBERON_0000381,Unknown,,Bladder filling reflex@Sympathetic – inhibits – detrusor,,,,,,
urinary system,Bladder,urinary bladder detrusor smooth muscle,UBERON_0000381,Unknown,,Bladder filling reflex@Sympathetic – contracts – contraction of internal sphincter,,,,,,
urinary system,Bladder,urinary bladder detrusor smooth muscle,UBERON_0000381,Unknown,,"Micturition reflex@Parasympathetic – leads to – detrusor contraction, sphincter relaxation",,,,,,
urinary system,Bladder,neck of urinary bladder,UBERON_0001258,Unknown,,Internal sphincter control@Sympathetic α₁ – leads to – outlet contracting during filling,,,,,,
urinary system,Bladder,sympathetic nervous system,UBERON:0000013,Unknown,,Detrusor relaxation@Sympathetic β₂/β₃ – leads to – outlet relaxation during filling,,,,,,
urinary system,Kidney,renal afferent arteriole,UBERON:0004639,AS,,,Renin secretion (RAAS)@Macula densa – senses – NaCl， JG cell – releases – renin,,,,,
urinary system,Kidney,kidney proximal straight tubule epithelial cell,CL:1000839,Unknown,,,,"Net acid excretion@NH₄⁺ – contributes to – NAE；TA (titratable acid) – contributes to – NAE；
 HCO₃⁻ – reduces – NAE","Net acid excretion@NH₄⁺ – contributes to – NAE；TA (titratable acid) – contributes to – NAE；
 HCO₃⁻ – reduces – NAE",,,
