Time Range,Major Organs,AS,FTU,CT,B,Unknown
1hr - < 1day,adipose tissue,peripheral aromatization@nan,,,,
1hr - < 1day,adrenal gland,,,,,DHEA production@nan; androstenedione production@zona reticularis SECRETES androstenedione; cortisol production@zona fasciculata cell SECRETES cortisol
1hr - < 1day,hypothalamus,circadian rhythm regulation@nan; light/dark processing@nan,,,,
1hr - < 1day,ovary,activin production@granulosa cell SECRETES activin; androstenedione production@thecal cell SECRETES androstenedione; estradiol synthesis@granulosa cell SECRETES estradiol; estradiol synthesis@nan; inhibin production@granulosa cell SECRETES inhibin; progesterone production@luteal cell SECRETES progesterone; progesterone production@nan,,,,
1hr - < 1day,pancreas,,C-peptide production@beta cell SECRETES c-peptide; amylin production@beta cell SECRETES amylin; amylin production@nan; glucagon production@alpha cell SECRETES glucagon; glucagon production@glucagon INCREASES gluconeogenesis; glucagon production@glucagon INCREASES glycogenolysis; insulin production@beta cell SECRETES insulin; insulin production@insulin INCREASES glucose uptake; insulin production@insulin INCREASES glycogen storage; pancreatic polypeptide production@f cell SECRETES pancreatic polypeptide; pancreatic polypeptide production@nan; somatostatin production@delta cell SECRETES somatostatin; somatostatin production@nan,,,
1hr - < 1day,pineal gland,melatonin production@pineal gland SECRETES melatonin,,,,
1hr - < 1day,skeletal muscle,,,,,peripheral aromatization@nan
1hr - < 1day,skin,peripheral aromatization@nan,,,,
1hr - < 1day,testis,,,,,anti-müllerian hormone production@sertoli cell SECRETES anti-mullerian hormone; inhibin B production@sertoli cell SECRETES inhibin b; testosterone production@leydig cell SECRETES testosterone; testosterone production@nan
1min - < 1hr,adipose tissue,adiponectin production@white adipocyte SECRETES adiponectin; leptin production@white adipocyte SECRETES leptin; resistin production@white adipocyte SECRETES resistin,,,,
1min - < 1hr,adrenal gland,,,,,aldosterone production@aldosterone INCREASES potassium excretion; aldosterone production@aldosterone INCREASES sodium reuptake; aldosterone production@aldosterone INCREASES water resorption; aldosterone production@zona glomerulosa cell SECRETES aldosterone; cortisol production@zona fasciculata cell SECRETES cortisol
