file,Organ_unique_count,AS_unique_count,FTU_unique_count,CT_unique_count,B_unique_count,Total_per_spatial_sum,Global_unique_across_spatials
Cardiovascular_system_v1_spatial_temporal_table,0,9,0,16,0,25,22
Digestive_system_v1_spatial_temporal_table,109,39,0,75,0,223,222
Endocrine_System_v1_spatial_temporal_table,25,12,0,87,0,124,116
Female_reproductive_v_spatial_temporal_table,22,54,0,37,0,113,106
Male_reproductive_spatial_temporal_table,9,29,0,17,0,55,52
Muscular_system_v1_spatial_temporal_table,0,2,0,15,0,17,17
Pulmonary_system_v1_spatial_temporal_table,126,32,0,33,0,191,191
Skeletal_system_v1_spatial_temporal_table,0,3,0,10,0,13,12
Urinary_system_v1_spatial_temporal_table,58,25,0,81,0,164,162
ftu_ids_summary,0,0,0,0,0,0,0
