AS,AS_ID,SOURCE_TABLES
endometrium | myometrium | uterine cervix | uterus,UBERON: 0000995,female-reproductive-system
uterine cervix | uterus,UBERON:0000002,female-reproductive-system
adenohypophysis | pituitary gland,UBERON:0000007,endocrine-system
parasympathetic nervous system | parasymphathetic nerve,UBERON:0000011,nervous-system
sympathetic nerve | sympathetic nervous system,UBERON:0000013,nervous-system
connective tissue | lymph node | lymph node T cell domain | periungual skin,UBERON:0000029,immune-and-lymphatic-system | integumentary-system
head | neck,UBERON:0000033,nervous-system
fibroblast | tendon,UBERON:0000043,fascia-system
ureter | ureter smooth muscle,UBERON:0000056,urinary-system
external urethral sphincter | internal urethral sphincter | urethra,UBERON:0000057,male-reproductive-system | nervous-system
large intestine | rectum,UBERON:0000059,nervous-system
arterial system | kidney | renal glomerulus,UBERON:0000074,urinary-system | ﻿cardiovascular-system
ampulla of fallopian tube | morula,UBERON:0000085,female-reproductive-system
blastocyst | trophoblast,UBERON:0000088,female-reproductive-system
lung | lung connective tissue,UBERON:0000114,fascia-system | pulmonary-system
enterocyte | enterocyte of epithelium of large intestine | goblet cell | intestine | stem cell,UBERON:0000160,digestive-system
mouth | orbicularis oris muscle | parotid gland | zygomaticus major muscle,UBERON:0000165,dental-and-craniofacial-system | nervous-system
arterial system | blood | blood plasma,UBERON:0000178,female-reproductive-system | nervous-system
ampulla of fallopian tube | blastula,UBERON:0000307,female-reproductive-system
breast | intercostal nerve | mammary gland | mammary gland connective tissue | mammary gland smooth muscle,UBERON:0000310,female-reproductive-system
gastric gland | stomach,UBERON:0000325,nervous-system
connective tissue | mucosa,UBERON:0000344,immune-and-lymphatic-system
blastocyst | trophoblast,UBERON:0000358,female-reproductive-system
urinary bladder | urinary bladder detrusor smooth muscle,UBERON:0000381,nervous-system
apocrine sweat gland | skin apocrine gland,UBERON:0000382,integumentary-system
epiglottis | taste bud,UBERON:0000388,nervous-system
eccrine sweat gland | sympathetic trunk,UBERON:0000407,integumentary-system
dermal papilla | hair follicle,UBERON:0000412,integumentary-system
myoepithelium | skin apocrine gland,UBERON:0000420,integumentary-system
dermis | eccrine sweat gland | skin of body | stratum compactum of dermis | sympathetic trunk,UBERON:0000423,integumentary-system | nervous-system
major vestibular gland | mammalian vulva,UBERON:0000460,female-reproductive-system
seminal vesicle | seminiferous tubule of testis | testis,UBERON:0000473,male-reproductive-system
epithelium | nail,UBERON:0000483,integumentary-system
interstitial fluid,UBERON:0000913,fascia-system
cranial nerve | cranial nerve II,UBERON:0000941,dental-and-craniofacial-system | nervous-system
gastric gland | mucous cell of stomach | parietal cell | stem cell | stomach,UBERON:0000945,digestive-system | nervous-system
aorta | arterial system,UBERON:0000947,﻿cardiovascular-system
cardiac muscle tissue of atrium | cardiac muscle tissue of ventricle | cardiac right atrium | heart | heart left ventricle | heart right ventricle | left cardiac atrium | sinoatrial node,UBERON:0000948,female-reproductive-system | nervous-system | ﻿cardiovascular-system
brain | ventral thalamus,UBERON:0000955,nervous-system
head | neck | sternocleidomastoid,UBERON:0000974,nervous-system
knee | leg,UBERON:0000978,muscular-system
axillary vein | venous system,UBERON:0000985,﻿cardiovascular-system
Barrington's nucleus | pons,UBERON:0000988,nervous-system
corpus cavernosum penis | corpus spongiosum of penis | ischiocavernosus muscle | male bulbospongiosus muscle | penis,UBERON:0000989,male-reproductive-system
corpus luteum | ovarian follicle | ovary,UBERON:0000992,female-reproductive-system
major vestibular gland | mammalian vulva,UBERON:0000997,female-reproductive-system
seminal vesicle | testis,UBERON:0000998,male-reproductive-system
ejaculatory duct | smooth muscle tissue layer of ejaculatory duct,UBERON:0000999,male-reproductive-system
muscular coat of vas deferens | vas deferens,UBERON:0001000,male-reproductive-system
epidermal-dermal junction | hair follicle | hair follicle bulge | skin epidermis | skin of body,UBERON:0001003,integumentary-system
bronchus | respiratory airway | trachea,UBERON:0001005,pulmonary-system
digestive enzyme secreting cell | digestive system,UBERON:0001007,digestive-system
large intestine | mechanoreceptor | rectum | rectum smooth muscle tissue,UBERON:0001052,nervous-system
inferior vena cava | venous system,UBERON:0001072,﻿cardiovascular-system
external jugular vein | venous system,UBERON:0001101,﻿cardiovascular-system
diaphragm | respiratory system muscle,UBERON:0001103,nervous-system
cephalic vein | venous system,UBERON:0001106,﻿cardiovascular-system
intercostal muscle | thoracic cavity,UBERON:0001111,pulmonary-system
neck | sternocleidomastoid,UBERON:0001128,nervous-system
biceps femoris | clitoris | female reproductive system | lung | muscle spindle | perineal muscle | rectus femoris | sartorius muscle | semimembranosus muscle | semitendinosus | skeletal muscle tissue | vastus intermedius | vastus lateralis | vastus medialis,UBERON:0001134,female-reproductive-system | muscular-system | nervous-system | pulmonary-system
hepatic portal system | portal venous system | superior mesenteric vein,UBERON:0001138,﻿cardiovascular-system
right renal vein | venous system,UBERON:0001141,﻿cardiovascular-system
left renal vein | venous system,UBERON:0001142,﻿cardiovascular-system
hepatic vein | venous system,UBERON:0001143,﻿cardiovascular-system
arterial system | superior mesenteric artery,UBERON:0001182,﻿cardiovascular-system
arterial system | inferior mesenteric artery,UBERON:0001183,﻿cardiovascular-system
arterial system | right renal artery,UBERON:0001185,﻿cardiovascular-system
arterial system | left renal artery,UBERON:0001186,﻿cardiovascular-system
arterial system | left gastric artery,UBERON:0001192,﻿cardiovascular-system
arterial system | splenic artery,UBERON:0001194,﻿cardiovascular-system
arterial system | middle colic artery,UBERON:0001196,﻿cardiovascular-system
arterial system | ileocolic artery,UBERON:0001197,﻿cardiovascular-system
Peyer's Patches | immune system,UBERON:0001211,immune-and-lymphatic-system
hepatic portal system | inferior mesenteric vein,UBERON:0001215,﻿cardiovascular-system
hepatic portal system | middle colic vein,UBERON:0001218,﻿cardiovascular-system
hepatic portal system | ileocolic vein,UBERON:0001219,﻿cardiovascular-system
adrenal cortex | zona fasciculata of adrenal gland | zona glomerulosa of adrenal gland | zona reticularis of adrenal gland,UBERON:0001235,endocrine-system | female-reproductive-system | male-reproductive-system
adrenal medulla | zona reticularis of adrenal gland,UBERON:0001236,female-reproductive-system
lower urinary tract | urinary bladder | urinary bladder detrusor smooth muscle,UBERON:0001255,nervous-system | urinary-system
mechanoreceptor | wall of urinary bladder,UBERON:0001256,nervous-system
kidney | proximal convoluted tubule,UBERON:0001287,dental-and-craniofacial-system | skeletal-system
endometrium | uterus,UBERON:0001295,female-reproductive-system
myometrium | uterus,UBERON:0001296,female-reproductive-system
epididymis | epididymis smooth muscle,UBERON:0001301,male-reproductive-system
ovarian follicle | ovary,UBERON:0001305,female-reproductive-system
male urethra | male urethral meatus,UBERON:0001333,male-reproductive-system
ischiocavernosus muscle | penis,UBERON:0001339,male-reproductive-system
seminiferous tubule of testis | testis,UBERON:0001343,male-reproductive-system
artery | perineal artery,UBERON:0001358,male-reproductive-system
femoral vein | venous system,UBERON:0001361,﻿cardiovascular-system
perineal vein | vein,UBERON:0001362,male-reproductive-system
external anal sphincter | perineal muscle,UBERON:0001367,nervous-system
biceps femoris | sartorius muscle | skeletal muscle tissue,UBERON:0001374,muscular-system
semitendinosus | skeletal muscle tissue,UBERON:0001375,muscular-system
rectus femoris | skeletal muscle tissue,UBERON:0001378,muscular-system
skeletal muscle tissue | vastus lateralis,UBERON:0001379,muscular-system
skeletal muscle tissue | vastus medialis,UBERON:0001380,muscular-system
semimembranosus muscle | skeletal muscle tissue,UBERON:0001381,muscular-system
arterial system | brachial artery,UBERON:0001398,﻿cardiovascular-system
arterial system | radial artery,UBERON:0001404,﻿cardiovascular-system
arterial system | ulnar artery,UBERON:0001406,﻿cardiovascular-system
basilic vein | venous system,UBERON:0001411,﻿cardiovascular-system
brachial vein | venous system,UBERON:0001413,﻿cardiovascular-system
bone tissue | skeletal system,UBERON:0001434,skeletal-system
face | orbicularis oculi muscle,UBERON:0001456,dental-and-craniofacial-system | nervous-system
knee | leg,UBERON:0001465,muscular-system
articular capsule,UBERON:0001484,fascia-system
arch of aorta | baroreceptor,UBERON:0001508,nervous-system
arterial system | descending aorta,UBERON:0001514,﻿cardiovascular-system
arterial system | brachiocephalic artery,UBERON:0001529,﻿cardiovascular-system
arterial system | right common carotid artery plus branches,UBERON:0001531,﻿cardiovascular-system
arterial system | right subclavian artery,UBERON:0001534,﻿cardiovascular-system
arterial system | left common carotid artery plus branches,UBERON:0001536,﻿cardiovascular-system
anterior tibial artery | arterial system,UBERON:0001537,﻿cardiovascular-system
arterial system | posterior tibial artery,UBERON:0001538,﻿cardiovascular-system
popliteal vein | venous system,UBERON:0001544,﻿cardiovascular-system
anterior tibial vein | venous system,UBERON:0001545,﻿cardiovascular-system
posterior tibial vein | venous system,UBERON:0001546,﻿cardiovascular-system
lower urinary tract | urinary bladder,UBERON:0001556,nervous-system
inferior pharyngeal constrictor | pharynx,UBERON:0001570,dental-and-craniofacial-system | nervous-system
genioglossus muscle | tongue,UBERON:0001571,dental-and-craniofacial-system | nervous-system
hyoglossus muscle | tongue,UBERON:0001572,dental-and-craniofacial-system | nervous-system
styloglossus | tongue,UBERON:0001573,dental-and-craniofacial-system | nervous-system
intrinsic muscle of tongue | tongue,UBERON:0001576,dental-and-craniofacial-system | nervous-system
face | orbicularis oculi muscle,UBERON:0001578,dental-and-craniofacial-system | nervous-system
cranial nerve | olfactory nerve,UBERON:0001579,dental-and-craniofacial-system | nervous-system
arterial system | left subclavian artery,UBERON:0001584,﻿cardiovascular-system
anterior vena cava | venous system,UBERON:0001585,﻿cardiovascular-system
