CL_LABELS,CL_IDs,WPP_SOURCES
sperm,CL:0000019,male-reproductive-system
oocyte,CL:0000023,female-reproductive-system
mature basophil,CL:0000043,immune-and-lymphatic-system
odontoblast,CL:0000060,dental-and-craniofacial-system
osteoblast,CL:0000062,dental-and-craniofacial-system | endocrine-system | integumentary-system | male-reproductive-system | skeletal-system
ciliated epithelial cell,CL:0000067,immune-and-lymphatic-system
blood cell,CL:0000081,immune-and-lymphatic-system
epithelial cell of pancreas,CL:0000083,digestive-system
osteoclast,CL:0000092,dental-and-craniofacial-system | endocrine-system | male-reproductive-system | skeletal-system
sensory epithelial cell,CL:0000098,integumentary-system
autonomic neuron,CL:0000107,immune-and-lymphatic-system | integumentary-system | muscular-system | nervous-system
CNS neuron (sensu Vertebrata),CL:0000117,immune-and-lymphatic-system
basket cell,CL:0000118,immune-and-lymphatic-system
gut endothelial cell,CL:0000131,immune-and-lymphatic-system
mesenchymal stem cell,CL:0000134,immune-and-lymphatic-system | integumentary-system
osteocyte,CL:0000137,dental-and-craniofacial-system | endocrine-system | skeletal-system
professional antigen presenting cell,CL:0000145,immune-and-lymphatic-system
secretory cell,CL:0000151,digestive-system | integumentary-system
peptic cell,CL:0000155,digestive-system
goblet cell,CL:0000160,digestive-system
parietal cell,CL:0000162,digestive-system | endocrine-system
chromaffin cell,CL:0000166,endocrine-system
Leydig cell,CL:0000178,immune-and-lymphatic-system | male-reproductive-system
pain receptor cell,CL:0000198,fascia-system
auditory hair cell,CL:0000202,dental-and-craniofacial-system | nervous-system
olfactory receptor cell,CL:0000207,dental-and-craniofacial-system | nervous-system
photoreceptor cell,CL:0000210,dental-and-craniofacial-system | nervous-system
Sertoli cell,CL:0000216,immune-and-lymphatic-system | male-reproductive-system
keratinizing barrier epithelial cell,CL:0000237,immune-and-lymphatic-system
neuroblast (sensu Nematoda and Protostomia),CL:0000338,immune-and-lymphatic-system
hair follicle dermal papilla cell,CL:0000346,integumentary-system
tendon cell,CL:0000388,fascia-system
chief cell of parathyroid gland,CL:0000446,dental-and-craniofacial-system | endocrine-system | skeletal-system
white adipocyte,CL:0000448,endocrine-system | female-reproductive-system | male-reproductive-system
digestive enzyme secreting cell,CL:0000470,digestive-system
granulosa cell,CL:0000501,female-reproductive-system
enterochromaffin-like cell,CL:0000504,digestive-system
paneth cell,CL:0000510,immune-and-lymphatic-system
melanoblast,CL:0000541,integumentary-system
parafollicular cell,CL:0000570,dental-and-craniofacial-system | endocrine-system | skeletal-system
pyramidal neuron,CL:0000598,integumentary-system
vestibular hair cell,CL:0000609,dental-and-craniofacial-system | nervous-system
acinar cell,CL:0000622,digestive-system
collagen secreting cell,CL:0000667,fascia-system
centripetally migrating follicle cell,CL:0000671,immune-and-lymphatic-system
Cajal-Retzius cell,CL:0000695,immune-and-lymphatic-system
PP cell,CL:0000696,endocrine-system
somatic stem cell,CL:0000723,integumentary-system
urothelial cell,CL:0000731,immune-and-lymphatic-system
striated muscle cell,CL:0000737,endocrine-system
nucleated thrombocyte,CL:0000762,immune-and-lymphatic-system
myeloid cell,CL:0000763,immune-and-lymphatic-system
myeloid leukocyte,CL:0000766,immune-and-lymphatic-system
immature basophil,CL:0000768,immune-and-lymphatic-system
multinucleated phagocyte,CL:0000783,immune-and-lymphatic-system
mature B cell,CL:0000785,immune-and-lymphatic-system
CD4-negative CD8-negative gamma-delta intraepithelial T cell,CL:0000803,immune-and-lymphatic-system
DN2 thymocyte,CL:0000806,immune-and-lymphatic-system
DN4 thymocyte,CL:0000808,immune-and-lymphatic-system
Effector Memory T cells | memory T cell,CL:0000813,immune-and-lymphatic-system | integumentary-system
B-1 B cell,CL:0000819,immune-and-lymphatic-system
B-1a B cell,CL:0000820,immune-and-lymphatic-system
B-2 B cell,CL:0000822,immune-and-lymphatic-system
pro-NK cell,CL:0000825,immune-and-lymphatic-system
follicular B cell,CL:0000843,immune-and-lymphatic-system
inflammatory macrophage,CL:0000863,immune-and-lymphatic-system
tissue-resident macrophage,CL:0000864,immune-and-lymphatic-system
nasal and broncial associated lymphoid tissue macrophage,CL:0000886,immune-and-lymphatic-system
alternatively activated macrophage,CL:0000890,immune-and-lymphatic-system
thymocyte,CL:0000893,immune-and-lymphatic-system
DN1 thymic pro-T cell,CL:0000894,immune-and-lymphatic-system
"activated CD4-positive, alpha-beta T cell",CL:0000896,immune-and-lymphatic-system
naive T cell,CL:0000898,immune-and-lymphatic-system
induced T-regulatory cell,CL:0000902,immune-and-lymphatic-system
natural T-regulatory cell,CL:0000903,immune-and-lymphatic-system
effector T cell,CL:0000911,immune-and-lymphatic-system
"activated CD4-negative, CD8-negative type I NK T cell",CL:0000928,immune-and-lymphatic-system
"CD4-negative, CD8-negative type I NK T cell secreting interleukin-4",CL:0000930,immune-and-lymphatic-system
activated type II NK T cell,CL:0000931,immune-and-lymphatic-system
antibody secreting cell,CL:0000946,immune-and-lymphatic-system
small pre-B-II cell,CL:0000954,immune-and-lymphatic-system
pre-B-II cell,CL:0000955,immune-and-lymphatic-system
large pre-B-II cell,CL:0000957,immune-and-lymphatic-system
IgA plasmablast,CL:0000984,immune-and-lymphatic-system
common dendritic progenitor,CL:0001029,immune-and-lymphatic-system
ILC1,CL:0001068,immune-and-lymphatic-system
"group 2 innate lymphoid cell, human",CL:0001081,immune-and-lymphatic-system
"lymphocyte of B lineage, CD19-positive",CL:0001200,immune-and-lymphatic-system
pre-conventional dendritic cell,CL:0002010,immune-and-lymphatic-system
basophil mast progenitor cell,CL:0002028,immune-and-lymphatic-system
early pro-B cell,CL:0002046,immune-and-lymphatic-system
late pro-B cell,CL:0002048,immune-and-lymphatic-system
fraction F mature B cell,CL:0002056,immune-and-lymphatic-system
T-helper 9 cell,CL:0002061,immune-and-lymphatic-system
tanycyte,CL:0002085,endocrine-system
bone marrow cell,CL:0002092,immune-and-lymphatic-system
CD27-negative gamma-delta T cell,CL:0002125,immune-and-lymphatic-system
regular atrial cardiac myocyte,CL:0002129,endocrine-system | ﻿cardiovascular-system
regular ventricular cardiac myocyte,CL:0002131,endocrine-system | ﻿cardiovascular-system
endothelial cell of vascular tree,CL:0002139,integumentary-system
skin sebocyte,CL:0002140,integumentary-system
clear cell of eccrine sweat gland,CL:0002146,integumentary-system
early promyelocyte,CL:0002154,immune-and-lymphatic-system
mucous cell of stomach,CL:0002180,digestive-system
basal proper cell of olfactory epithelium,CL:0002184,integumentary-system
basal cell of epidermis,CL:0002187,integumentary-system
granular cell of epidermis,CL:0002189,integumentary-system
oxyphil cell of thyroid,CL:0002200,immune-and-lymphatic-system
tuft cell,CL:0002204,immune-and-lymphatic-system
epithelial cell of thyroid gland,CL:0002257,endocrine-system
type ECL enteroendocrine cell,CL:0002273,digestive-system
type I enteroendocrine cell,CL:0002277,endocrine-system
GIP cell,CL:0002278,endocrine-system
type L enteroendocrine cell,CL:0002279,digestive-system | endocrine-system
type S enteroendocrine cell,CL:0002281,endocrine-system
epithelial cell of thymus,CL:0002293,immune-and-lymphatic-system
epithelial cell of distal tubule,CL:0002305,urinary-system
epithelial cell of skin gland,CL:0002308,integumentary-system
connective tissue cell,CL:0002320,fascia-system | integumentary-system
lactocyte,CL:0002325,female-reproductive-system
mammary gland epithelial cell,CL:0002327,immune-and-lymphatic-system
primitive red blood cell,CL:0002355,pulmonary-system
