Whole Person Physiome Table for Integumentary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Brian Capell,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-7036-8359,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Fitzpatrick’s Dermatology (9e, 2019). ISBN 978-0-07-183779-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,12/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Epidermal Stem Cells,epidermal stem cell homeostasis,GO:0036334,Self-renewal & regeneration,regeneration,GO:0031099,,,,,,,,,,,,,,,,,Basal stem cells divide asymmetrically to maintain epidermal renewal,Cell,skin epidermis,skin epidermis,UBERON:0001003,Epidermal stem cells,stem cell of epidermis,CL:1000428,,does,X renewal,Basal stem cells divide asymmetrically to maintain epidermal,,,,Intra-organ,Years,Stem cell culture success,,,wound healing rate,,,,,,,,,"β1-integrin, LRIG1, CD46 expression correlates with renewal capacity",,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Epidermal Stem Cells,epidermal stem cell homeostasis,GO:0036334,Wound repair,wound healing,GO:0042060,,,,,,,,,,,,,,,,,Activation of basal progenitors after injury,Cell,skin epidermis,skin epidermis,UBERON:0001003,"Stem cells, transient amplifying cells",transit amplifying cell,CL:0009010,,does,X Activation,basal progenitors after injury,,,,Intra-organ,Hours–days,Reepithelialization speed,,,,,,,,,,,,"Cytokine, growth factor, ECM stiffness signaling",,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Epidermal Stem Cells,epidermal stem cell homeostasis,GO:0036334,Heterogeneity of progenitors,stem cell division,GO:0017145,,,,,,,,,,,,,,,,,Distinct basal progenitor subpopulations with different proliferative kinetics,Cell,skin epidermis,skin epidermis,UBERON:0001003,High- and low-proliferative progenitors,progenitor cell,CL:0011026,,does,Induction of X by Y,Heterogeneity of progenitors,Distinct basal progenitor subpopulations with different proliferative kinetics,,,Intra-organ,weeks–years,"Gene expression variability (β1-integrin, LRIG1)",,,,,,,,,,,,"Genetic, mechanical, and signaling heterogeneity",,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Stem Cell Niche,epidermal stem cell homeostasis,GO:0036334,Niche maintenance,stem cell division,GO:0017145,,,,,,,,,,,,,,,,,Microenvironmental support for stem cells,Cell,skin epidermis,skin epidermis,UBERON:0001003,"Basal progenitors, fibroblasts, immune cells",basal proper cell of olfactory epithelium,CL:0002184,,does,Induction of X for Y,Niche maintenance,supporting stem cells,,,Intra-organ,Years,Skin architecture stability,,,,,,,,,,,,"Cell–cell, cell–matrix adhesion, soluble factors",,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Stem Cell Niche,epidermal stem cell homeostasis,GO:0036334,Spatial organization,stem cell division,GO:0017145,,,,,,,,,,,,,,,,,Localization of progenitors within rete ridges,Cell,skin epidermis,skin epidermis,UBERON:0001003,Stem/progenitor cells,progenitor cell,CL:0011026,,does,X Localization,progenitors within rete ridges,,,,Intra-organ,weeks–years,—,,,,,,,,,,,,"ECM composition, integrin-mediated adhesion",,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Stem Cell Niche,epidermal stem cell homeostasis,GO:0036334,Clonal columnar renewal,stem cell division,GO:0017145,,,,,,,,,,,,,,,,,Basal progenitor cells produce columns of differentiated cells above them,Cell,skin epidermis,skin epidermis,UBERON:0001003,Basal progenitor → suprabasal differentiation,suprabasal cell,CL:7770004,,does,Induction of X for Y,Clonal columnar renewal,Basal progenitor cells producing columns of differentiated cells above them,,,Intra-organ,weeks–years,Epidermal turnover uniformity,,,,,,,,,,,,Minimal lateral mixing ensures ordered renewal,,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Epidermal Proliferation,cell population proliferation,GO:0008283,Homeostatic renewal,homeostatic process,GO:0042592,,,,,,,,,,,,,,,,,Controlled basal cell division maintains epidermal thickness,Cell,skin epidermis,skin epidermis,UBERON:0001003,Basal keratinocytes,basal cell,CL:0000646,,does,X control,led basal cell division maintains epidermal thickness,,,,Intra-organ (Tissue),weeks–years,"Cell cycle markers (Ki-67, PCNA)",,,,,,,,,,,,"Wnt, Notch, Yap, Hedgehog, MAPK, PI3K–AKT–PTEN pathways",,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Epidermal Proliferation,cell population proliferation,GO:0008283,Mechanical & chemical regulation,chemical homeostasis,GO:0048878,,,,,,,,,,,,,,,,,ECM rigidity,Tissue,skin epidermis,skin epidermis,UBERON:0001003,Dermal–epidermal junction,epidermal-dermal junction,UBERON:0008877,,does,X rigidity,ECM,,,,Intra-organ (Tissue),weeks–years,Tissue stiffness measurements,,,,,,,,,,,,Integrin–FAK–MAPK signaling cascade,,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Epidermal Proliferation,cell population proliferation,GO:0008283,Mechanical & chemical regulation,chemical homeostasis,GO:0048878,,,,,,,,,,,,,,,,,cytokines modulate proliferation,Tissue,skin epidermis,skin epidermis,UBERON:0001003,Dermal–epidermal junction,epidermal-dermal junction,UBERON:0008877,,does,X modulation of Y ,cytokines,proliferation,,,Intra-organ (Tissue),weeks–years,Tissue stiffness measurements,,,,,,,,,,,,Integrin–FAK–MAPK signaling cascade,,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
Growth and Differentiation of the Epidermis,epidermis development,GO:0008544,Basal Cells,basal dendrite,GO:0097441,Structural anchoring,anchoring junction,GO:0070161,,,,,,,,,,,,,,,,,Attach epidermis to basement membrane,Cell,skin epidermis,skin epidermis,UBERON:0001003,Basal keratinocytes,basal cell,CL:0000646,,does,Induction of X by Y,Structural anchoring,Attaching epidermis to basement membrane,,,Intra-organ,weeks–years,Epidermolysis bullosa (if mutated),,,,,,,,,,,,Keratins 5/14 stabilize desmosomes & hemidesmosomes,,,,,,,,,,,,"Fitzpatrick’s Dermatology (9e, 2019)",978-0-07-183779-8,5,,,,,,,,,
