Whole Person Physiome Table for Endocrine System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Anne Cappola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-0883-9754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,11/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physiological Function,,,,,,,,,,,,,,,,,,,,,,,,,Physiological Process,,,,,,,,,,,,,,,,Scales of Effect,,,Clinical Metrics,,,,,,,,,,,,Interacting Functions,,,,,,,,,,,,Reference Material,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,Behavior Z,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,glucagon increases glycogenolysis and gluconeogenesis in the liver to increase blood glucose; acts via adrenergic signaling,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,,does,X secretion,glucagon,,,"[40, 80]","units = pg/mL, Target is [80, 200] 2 hours after a mixed meal","minutes, hours",,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,insulin,decreases,X secretion,glucagon,,,,,"minutes, hours",paracrine,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,glucose,decreases,X secretion,glucagon,,,,,"minutes, hours",systemic,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,somatostatin,decreases,X secretion,glucagon,,,,,"minutes, hours",paracrine,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,fasted status,increases,X secretion,glucagon,,,,,"minutes, hours",systemic,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,pancreatic polypeptide,decreases,X secretion,glucagon,,,,,"minutes, hours",paracrine,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,secretion,secretion,GO:0046903,gastric acid secretion,gastric acid secretion,GO:0001696,regulation of gastric acid secretion,regulation of gastric acid secretion,,GO:0060453,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,amylin,decreases,X secretion,glucagon,,,,,"minutes, hours",paracrine,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,2338-2,,,,,,,,,,somatostatin,,,glp-1,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,,organism,endocrine system,endocrine system,UBERON:0000949,endocrine system,endocrine system,UBERON:0000949,glucose,decreases,transition to X,fasted status,,,,,"minutes, hours",systemic,systemic,,,,,,,,,,,,,,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,insulin promotes glycogen storage and glucose uptake; receptor tyrosin kinase; promotes translocation of GLUT4 in skeletal muscle and adipocytes,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,,does,X secretion,insulin,,,"[3, 8]","units = µU/mL, Target is [50, 150] 2 hours after a mixed meal","minutes, hours",,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,glucose,increases,X secretion,insulin,,,,,"minutes, hours",systemic,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,somatostatin,decreases,X secretion,insulin,,,,,"minutes, hours",paracrine,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,fed status,increases,X secretion,insulin,,,,,"minutes, hours",systemic,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,fed status,decreases,X secretion,glucagon,,,,,"minutes, hours",systemic,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,pancreatic polypeptide,decreases,X secretion,insulin,,,,,"minutes, hours",paracrine,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,glucose,increases,X secretion,C-peptide,,,,,"minutes, hours",systemic,paracrine,plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,somatostatin,,,,,,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,
