Whole Person Physiome Table for Immune and Lymphatic System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,David Hill,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-9286-4268,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Cellular & Molecular Immunology (11e, 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,1/5/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,"Rapid innate defense, acute inflammation",inflammatory response,GO:0006954,,,,,,,,,,,,,,,,,"Chemotaxis, phagocytosis, degranulation, ROS, NETs",Cell,immune system,immune system,UBERON:0002405,Neutrophils,neutrophil,CL:0000775,,does,X Migration,chemotaxis,,,,Intra-organ (Tissue),hours-days,CBC: neutrophils ,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,Respond to opsonins,,," interact with endothelium, macrophages",,, can damage tissue via NETs,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,"Rapid innate defense, acute inflammation",inflammatory response,GO:0006954,,,,,,,,,,,,,,,,,"Chemotaxis, phagocytosis, degranulation, ROS, NETs",Cell,immune system,immune system,UBERON:0002405,Neutrophils,neutrophil,CL:0000775,,does,X Engulfing,phagocytosis,,,,Intra-organ (Tissue),hours-days,CBC: neutrophils ,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,Respond to opsonins,,," interact with endothelium, macrophages",,, can damage tissue via NETs,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,"Rapid innate defense, acute inflammation",inflammatory response,GO:0006954,,,,,,,,,,,,,,,,,"Chemotaxis, phagocytosis, degranulation, ROS, NETs",Cell,immune system,immune system,UBERON:0002405,Neutrophils,neutrophil,CL:0000775,,does,X Releasing,degranulation,,,,Intra-organ (Tissue),hours-days,CBC: neutrophils ,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,Respond to opsonins,,," interact with endothelium, macrophages",,, can damage tissue via NETs,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,"Rapid innate defense, acute inflammation",inflammatory response,GO:0006954,,,,,,,,,,,,,,,,,"Chemotaxis, phagocytosis, degranulation, ROS, NETs",Cell,immune system,immune system,UBERON:0002405,Neutrophils,neutrophil,CL:0000775,,does,X Generating,ROS,,,,Intra-organ (Tissue),hours-days,CBC: neutrophils ,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,Respond to opsonins,,," interact with endothelium, macrophages",,, can damage tissue via NETs,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,"Rapid innate defense, acute inflammation",inflammatory response,GO:0006954,,,,,,,,,,,,,,,,,"Chemotaxis, phagocytosis, degranulation, ROS, NETs",Cell,immune system,immune system,UBERON:0002405,Neutrophils,neutrophil,CL:0000775,,does,X Forming,NETs,,,,Intra-organ (Tissue),hours-days,CBC: neutrophils ,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,Respond to opsonins,,," interact with endothelium, macrophages",,, can damage tissue via NETs,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,Defense vs helminths; allergy-related,,,,,,,,,,,,,,,,,,,Degranulation of toxic basic proteins,Cell,immune system,immune system,UBERON:0002405,Eosinophils,eosinophil,CL:0000771,,does,Degranulation of X,oxic basic proteins,,,,Intra-organ (Tissue),days ,CBC: eosinophils %,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,"Activated by IgA/IgG FcR, TLRs, IL-5",,, can injure host tissue,,,,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,Allergy/helminths; mast cell–like mediators,mast cell migration,GO:0097531,,,,,,,,,,,,,,,,,Degranulation; mediator release,Cell,immune system,immune system,UBERON:0002405,Basophils,mature basophil,CL:0000043,,does,X Releasing,"mediators (Histamin, Proteases. Cytokines)",,,,Intra-organ (Tissue),days ,CBC: basophils %,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,Express FcεRI for IgE,,, overlap with mast cell functions,,,,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,Adaptive immunity; some innate (NK/ILC),innate immunity memory response,GO:0090714,,,,,,,,,,,,,,,,,Recirculation,Cell,immune system,immune system,UBERON:0002405,Lymphocytes (total),lymphocyte,CL:0000542,,does,X Recirculation,Lymphocytes (total),,,,Circulatory,days-weeks,CBC: lymphocyte count,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,"Interact with APCs, stromal cells, each other",,,,,,,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,Adaptive immunity; some innate (NK/ILC),innate immunity memory response,GO:0090714,,,,,,,,,,,,,,,,,antigen recognition,Cell,immune system,immune system,UBERON:0002405,Lymphocytes (total),lymphocyte,CL:0000542,,does,X antigen recognition,Lymphocytes (total),,,,Systemic,days-weeks,CBC: lymphocyte count,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,"Interact with APCs, stromal cells, each other",,,,,,,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
Cells and Tissues of the Immune System,immune system development,GO:0002520,Blood leukocytes & basic measures,leukocyte mediated immunity,GO:0002443,Adaptive immunity; some innate (NK/ILC),innate immunity memory response,GO:0090714,,,,,,,,,,,,,,,,,clonal expansion,Cell,immune system,immune system,UBERON:0002405,Lymphocytes (total),lymphocyte,CL:0000542,,does,X clonal expansion,Lymphocytes (total),,,,Circulatory,days-weeks,CBC: lymphocyte count,CBC panel - Blood by Automated count,	58410-2,,,,,,,,,,"Interact with APCs, stromal cells, each other",,,,,,,,,,,,"Cellular & Molecular Immunology (11e, 2023)",9780443283581,2,,,,,,,,,
