Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003020,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007589,Airway patency,,,Alveolar ventilation equation,alveolar lamellar body,GO:0097208,,,,,,,,,,,,,,Relationship between ventilation and CO₂:  PACO₂ ∝ V̇CO₂ / V̇A,Organ,Lung,lung,UBERON:0002048,"Alveoli, capillaries",alveolus of lung,UBERON:0002299,,does,X proportion to Y,alveolar CO2 production,Alveolar CO₂ pressure,mmHg,Relationship between ventilation and CO₂, PACO₂ ∝ V̇CO₂ / V̇A,Alveolar ventilation equation,,Intra-organ,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,CO₂ production rate vs ventilation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-10,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003020,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007589,Airway patency,,,Alveolar ventilation equation,alveolar lamellar body,GO:0097208,,,,,,,,,,,,,,Relationship between ventilation and CO₂:  PACO₂ ∝ V̇CO₂ / V̇A,Organ,Lung,lung,UBERON:0002048,"Alveoli, capillaries",alveolus of lung,UBERON:0002299,,does,X proportion to Y,alveolar ventilation,Alveolar CO₂ pressure,mmHg,Relationship between ventilation and CO₂, PACO₂ ∝ V̇CO₂ / V̇A,Alveolar ventilation equation,,Intra-organ,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,CO₂ production rate vs ventilation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-10,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003020,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007589,Airway patency,,,Alveolar ventilation equation,alveolar lamellar body,GO:0097208,,,,,,,,,,,,,,Relationship between ventilation and CO₂:  Arterial PCO₂ ≈ alveolar PCO₂,Organ,Lung,lung,UBERON:0002048,"Alveoli, capillaries",alveolus of lung,UBERON:0002299,,does,X equivalence to Y,arterial CO2,alveolar CO₂ pressure ,mmHg,Relationship between ventilation and CO₂, Arterial PCO₂ ≈ alveolar PCO₂,Alveolar ventilation equation,,Intra-organ,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,CO₂ production rate vs ventilation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-10,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003021,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007590,Airway patency,,,Dead space ventilation,,,,,,,,,,,,,,,,Partitioning of anatomic and physiologic dead space:  Anatomic VD = conducting airways (~150 ml),Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,,does,X equivalence to Y,anatomic dead space, Volume of airways ,mL,Partitioning of anatomic and physiologic dead space, Anatomic VD = conducting airways (~150 ml),Dead space ventilation,,Intra-organ,Seconds–minutes,Dead Space to Tidal Volume Ratio,,,,,,,,,,,,Fowler (N₂) vs Bohr (CO₂) methods,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-11,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003021,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007590,Airway patency,,,Dead space ventilation,,,,,,,,,,,,,,,,Partitioning of anatomic and physiologic dead space:  Bohr method for estimation of anatomic VD: based on arterial vs expired CO₂ difference,Organ,Lung,lung,UBERON:0002048,"pulmonary alveolar, Alveoli",pulmonary arteriole,UBERON:8600077,,does,X measurement of Y,terial vs expired CO₂ difference,anatomic VD,,Partitioning of anatomic and physiologic dead space, Bohr method for estimation of anatomic VD: based on arterial vs expired CO₂ difference,Dead space ventilation,,Intra-organ,Seconds–minutes,Dead Space to Tidal Volume Ratio,,,,,,,,,,,,Fowler (N₂) vs Bohr (CO₂) methods,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-11,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003022,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007591,Airway patency,,,Regional ventilation distribution,,,,,,,,,,,,,,,,Ventilation variation with gravity:  Supine: posterior < anterior (ventilation vs perfusion!),Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,,does,X preference to Y,posterior ventilation ,anterior ventilation,,Ventilation variation with gravity, Supine: posterior > anterior,Regional ventilation distribution,,Intra-organ,Seconds–minutes,Xenon scan,,,imaging ventilation,,,,,,,,,Gravity,,, compliance gradient,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-12,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003022,Ventilation,respiratory gaseous exchange by respiratory system,GO:0007591,Airway patency,,,Regional ventilation distribution,,,,,,,,,,,,,,,,Ventilation variation with gravity:  Lateral: dependent lung best perfused ,Organ,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,does,X ventilation,dependent region ventilation,,L·min⁻¹,Ventilation variation with gravity, Lateral: dependent lung best ventilated,Regional ventilation distribution,,Intra-organ,Seconds–minutes,Xenon scan,,,imaging ventilation,,,,,,,,,Gravity,,, compliance gradient,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-12,2,,,,,,,,,
respiratory system process,respiratory system process,GO:0003023,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Define diffusion determinants,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Fick’s law across blood-gas barrier:  Flux ∝ Area (A) × ΔP,Tissue,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,does,X proportion to Y,Gas diffusion rate ,surface area and pressure gradient.,mL·min⁻¹,Fick’s law across blood-gas barrier, Flux ∝ Area (A) × ΔP,Define diffusion determinants,,Segmental (intra-organ),Milliseconds–seconds,None specific (principle),,,,,,,,,,,,CO₂ diffuses ≈20× faster than O₂ (higher solubility),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-13,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003023,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Define diffusion determinants,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Fick’s law across blood-gas barrier:  Flux ∝ Diffusion constant (D: solubility/√MW),Tissue,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,does,X depends on Y,gas diffusion,solubility and molecular weight of the gas,mL·min⁻¹·mmHg⁻¹,Fick’s law across blood-gas barrier, Flux ∝ Diffusion constant (D: solubility/√MW),Define diffusion determinants,,Segmental (intra-organ),Milliseconds–seconds,None specific (principle),,,,,,,,,,,,CO₂ diffuses ≈20× faster than O₂ (higher solubility),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-13,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003023,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Define diffusion determinants,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Fick’s law across blood-gas barrier:  Flux ∝ 1/Thickness (T),Tissue,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,does,X as Y,Diffusion rate decrease,membrane thickness increase,mL·min⁻¹,Fick’s law across blood-gas barrier, Flux ∝ 1/Thickness (T),Define diffusion determinants,,Segmental (intra-organ),Milliseconds–seconds,None specific (principle),,,,,,,,,,,,CO₂ diffuses ≈20× faster than O₂ (higher solubility),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-13,3,,,,,,,,,
