Whole Person Physiome Table for Cardiovascular System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rajan Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-1979-044X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,11/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, Behavior Z, and X Target columns.",,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"DO NOT FILL THIS OUT YET. These columns will list body states or conditions that change the physiological process. (e.g., ""fed"", ""fasted"")",,"DO NOT FILL THIS OUT YET. These columns will indicate the changes that occur during the corresponding body states. (e.g., ""increase"", ""decrease"")",,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,Behavior Z,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,State/1,State/2,Regulation/1,Regulation/2,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,,does,contraction,,,,600,"units = ms, Duration of twitch is between 25 and 200ms",milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,tissue,thoracic spinal cord,thoracic spinal cord,UBERON:0003038,thoracic nerve,thoracic nerve,UBERON:0003726,,does,innervation of X,heart,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,tissue,thoracic spinal cord,thoracic spinal cord,UBERON:0003038,thoracic nerve,thoracic nerve,UBERON:0003726,,does,depolarization,,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,thoracic nerve depolarization,increases,contraction,,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,thoracic nerve depolarization,increases,contraction X,force,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,thoracic nerve depolarization,increases,contraction X,frequency,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,tissue,cranial nerve,cranial nerve,UBERON:0001785,vagus nerve,vagus nerve,UBERON:0001759,,does,innervation of X,heart,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,tissue,cranial nerve,cranial nerve,UBERON:0001785,vagus nerve,vagus nerve,UBERON:0001759,,does,depolarization,,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,vagus nerve depolarization,decreases,contraction,,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,vagus nerve depolarization,decreases,contraction X,force,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,innervation,,,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,vagus nerve depolarization,decreases,contraction X,frequency,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
cardiovascular system,cardiovascular system,UBERON:0004535,muscle contraction,muscle contraction,GO:0006936,calcium influx,calcium ion import,GO:0070509,,,,,,,,,,,,,,,,,,cell,heart,heart,UBERON:0000948,cardiac muscle cell,cardiac muscle cell,CL:0000746,,does,X uptake,calcium,,,,,milliseconds,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,22,,,,,,,,,
