file,Organ_unique_count,AS_unique_count,FTU_unique_count,CT_unique_count,B_unique_count,Total_per_spatial_sum,Global_unique_across_spatials
Cardiovascular_System_spatial_temporal_table,0,5,0,6,0,11,10
Dental_and_Craniofacial_System_spatial_temporal_table,0,26,0,9,0,35,35
Digestive_System_spatial_temporal_table,133,45,0,76,0,254,253
Endocrine_System_spatial_temporal_table,9,6,0,67,0,82,82
Fascia_System_spatial_temporal_table,116,113,0,41,0,270,264
Female_Reproductive_System_spatial_temporal_table,10,33,1,24,0,68,68
Immune_and_Lymphatic_System_spatial_temporal_table,12,41,0,906,0,959,957
Integumentary_System_spatial_temporal_table,7,108,10,267,0,392,392
Male_Reproductive_System_spatial_temporal_table,3,19,0,12,0,34,34
Muscular_System_spatial_temporal_table,0,0,0,2,0,2,2
Nervous_System_spatial_temporal_table,0,50,0,7,0,57,56
Pulmonary_System_spatial_temporal_table,129,29,3,33,0,194,194
Skeletal_System_spatial_temporal_table,0,1,0,7,0,8,8
Urinary_System_spatial_temporal_table,60,25,0,81,0,166,164
