CL_LABELS,CL_IDs,WPP_SOURCES
osteoblast,CL:0000062,dental-and-craniofacial-system | endocrine-system | male-reproductive-system | skeletal-system
motor neuron,CL:0000100,muscular-system | nervous-system
sensory neuron | sensory neuron of dorsal root gangli,CL:0000101,nervous-system
endothelial cell,CL:0000115,cardiovascular-system | endocrine-system
astrocyte,CL:0000127,nervous-system
oligodendrocyte,CL:0000128,nervous-system
type B cell of pancreas,CL:0000169,endocrine-system
pancreatic A cell,CL:0000171,endocrine-system
pancreatic D cell,CL:0000173,endocrine-system
luteal cell,CL:0000175,female-reproductive-system
hepatocyte,CL:0000182,endocrine-system
smooth muscle cell,CL:0000192,cardiovascular-system | endocrine-system | muscular-system | nervous-system
erythrocyte,CL:0000232,female-reproductive-system
platelet,CL:0000233,endocrine-system
theca cell,CL:0000503,female-reproductive-system
gastrin secreting cell,CL:0000509,endocrine-system
afferent neuron,CL:0000526,nervous-system
neuron,CL:0000540,nervous-system
cardiac muscle cell,CL:0000746,cardiovascular-system | nervous-system
stromal cell of endometrium,CL:0002255,female-reproductive-system
pancreatic PP cell,CL:0002275,endocrine-system
Schwann cell,CL:0002573,nervous-system
kidney distal convoluted tubule epithelial cell,CL:1000849,dental-and-craniofacial-system | endocrine-system | skeletal-system
pancreas exocrine glandular cell,CL:1001599,endocrine-system
