Whole Person Physiome Table for Urinary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Katalin Susztak,Sandeep Aggarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000‑0002‑1005‑3726,0000-0001-6915-7901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/6/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physiological Function,,,,,,,,,,,,,,,,,,,,,,,,,Physiological Process,,,,,,,,,,,,,,,,,,,,,,,,Scales of Effect,,,Clinical Metrics,,,,,,,,,,,,Interacting Functions,,,,,,,,,,,,Reference Material,,,,,,,,,,,,Common Data Elements,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,"three-layer barrier: fenestrated endothelium, glomerular basement membrane, podocyte slit diaphragm; free filtration below ~10 kDa",Podocyte slit diaphragm completes the size- and charge-selective barrier that filters plasma water and solutes into Bowman space,cell,renal glomerulus,renal glomerulus,UBERON:0000074,podocyte,podocyte,CL:0000653,,,,does,transport of X from Y to Z,plasma ultrafiltrate,,,glomerular capillary,,,Bowman's space,,,"[90, 140]",units = mL/min/1.73m2; ~180 L/day filtered; filtration is size- and charge-selective,seconds,,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Fixed anionic charge of the filtration barrier restricts filtration of albumin and other polyanions,cell,renal glomerulus,renal glomerulus,UBERON:0000074,podocyte,podocyte,CL:0000653,anionic glomerular basement membrane charge,,,decreases,transport of X from Y to Z,albumin,,,glomerular capillary,,,Bowman's space,,,,urine protein normally <150 mg/day; albumin <30 mg/day,seconds,intra-organ,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Fenestrated glomerular endothelium permits bulk water and solute flux while excluding blood cells,cell,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular endothelial cell,glomerular endothelial cell,CL:0002188,,,,does,transport of X from Y to Z,plasma water,,,glomerular capillary,,,Bowman's space,,,,fenestrae ~70-100 nm; excludes cellular elements,seconds,,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
