Effector/LABEL,Effector/ID(s),Files,Count_files
skeletal muscle fiber,CL:0008002,Endocrine_System;Female_Reproductive_System;Male_Reproductive_System;Muscular_System;Nervous_System,5
kidney proximal convoluted tubule epithelial cell,CL:1000838,Cardiovascular_System;Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,4
osteoblast,CL:0000062,Dental_and_Craniofacial_System;Endocrine_System;Male_Reproductive_System;Skeletal_System,4
osteoclast,CL:0000092,Dental_and_Craniofacial_System;Endocrine_System;Male_Reproductive_System;Skeletal_System,4
smooth muscle cell,CL:0000192,Cardiovascular_System;Endocrine_System;Muscular_System;Nervous_System,4
adenohypophysis,UBERON:0002196,Endocrine_System;Female_Reproductive_System;Male_Reproductive_System,3
bone marrow,UBERON:0002371,Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,3
chief cell of parathyroid gland,CL:0000446,Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,3
fibroblast of dermis,CL:0002551,Endocrine_System;Female_Reproductive_System;Male_Reproductive_System,3
heart left ventricle,UBERON:0002084,Cardiovascular_System;Female_Reproductive_System;Nervous_System,3
kidney distal convoluted tubule epithelial cell,CL:1000849,Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,3
kidney insterstitium,UBERON:0005215,Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,3
osteocyte,CL:0000137,Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,3
parafollicular cell,CL:0000570,Dental_and_Craniofacial_System;Endocrine_System;Skeletal_System,3
parvocellular neurosecretory cell,CL:1001505,Endocrine_System;Female_Reproductive_System;Male_Reproductive_System,3
pudendal nerve,UBERON:0011390,Female_Reproductive_System;Male_Reproductive_System;Nervous_System,3
sympathetic nerve,UBERON:0034729,Dental_and_Craniofacial_System;Male_Reproductive_System;Nervous_System,3
white adipocyte,CL:0000448,Endocrine_System;Female_Reproductive_System;Male_Reproductive_System,3
zona reticularis of adrenal gland,UBERON:0002055,Endocrine_System;Female_Reproductive_System;Male_Reproductive_System,3
Meissner's corpuscle,UBERON:0012450,Dental_and_Craniofacial_System;Nervous_System,2
Merkel nerve ending,UBERON:0012456,Dental_and_Craniofacial_System;Nervous_System,2
abducens nerve,UBERON:0001646,Dental_and_Craniofacial_System;Nervous_System,2
