Whole Person Physiome Table for Endocrine System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rebecca Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6988-4102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physiological Function,,,,,,,,,,,,,,,,,,,,,,,,,Physiological Process,,,,,,,,,,,,,,,,,,,,,,,,Scales of Effect,,,Clinical Metrics,,,,,,,,,,,,Interacting Functions,,,,,,,,,,,,Reference Material,,,,,,,,,,,,Common Data Elements,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
fascial system,,,force transmission,response to mechanical stimulus,GO:0009612,myofascial force transmission,response to mechanical stimulus,GO:0009612,lateral and epimuscular load transfer,,,,,,,,,,,,,,,"lateral transmission means a muscle fibre need not span the whole muscle to contribute force, and is why fibre-level and whole-muscle mechanics differ",Intramuscular connective tissue transmits contractile force laterally between fibres,tissue,skeletal muscle tissue,skeletal muscle tissue,UBERON:0001134,endomysium,,,,,,does,transport of X from Y to Z,mechanical force,,,muscle fiber,,,surrounding connective tissue,,,"[0.3, 0.4]",units = fraction of contractile force transmitted laterally rather than through the myotendinous junction,milliseconds-seconds,,intra-organ,shear wave elastography,,,ultrasound fascial thickness,,,range of motion,,,,,,musculoskeletal system,,,mechanical loading,response to mechanical stimulus,GO:0009612,tendon loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,force transmission,response to mechanical stimulus,GO:0009612,myofascial force transmission,response to mechanical stimulus,GO:0009612,lateral and epimuscular load transfer,,,,,,,,,,,,,,,,Perimysial sheaths couple adjacent fascicles and carry load toward the muscle surface,tissue,skeletal muscle tissue,skeletal muscle tissue,UBERON:0001134,perimysium,,,,,,does,transport of X from Y to Z,mechanical force,,,muscle fascicle,,,epimysium,,,,"perimysial collagen runs obliquely and reorients with sarcomere length, stiffening progressively as the muscle shortens",milliseconds-seconds,,intra-organ,shear wave elastography,,,ultrasound fascial thickness,,,range of motion,,,,,,musculoskeletal system,,,mechanical loading,response to mechanical stimulus,GO:0009612,tendon loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,force transmission,response to mechanical stimulus,GO:0009612,myofascial force transmission,response to mechanical stimulus,GO:0009612,lateral and epimuscular load transfer,,,,,,,,,,,,,,,this is the mechanical evidence for treating fascia as a continuous tensional network rather than as discrete wrappings,Deep fascia transmits load between anatomically separate muscles,tissue,fascia,fascia,UBERON:0007798,deep fascia,,,,,,does,transport of X from Y to Z,mechanical force,,,muscle,,,adjacent muscle,,,,epimuscular transmission; loading one muscle measurably alters the length-force behaviour of its neighbours,milliseconds-seconds,,intra-organ,shear wave elastography,,,ultrasound fascial thickness,,,range of motion,,,,,,musculoskeletal system,,,mechanical loading,response to mechanical stimulus,GO:0009612,tendon loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,force transmission,response to mechanical stimulus,GO:0009612,myofascial force transmission,response to mechanical stimulus,GO:0009612,lateral and epimuscular load transfer,,,,,,,,,,,,,,,,Aponeurotic fascia stores elastic energy on loading and returns it during recoil,tissue,fascia,fascia,UBERON:0007798,aponeurotic fascia,,,,,,does,X storage,elastic strain energy,,,,,,,,,,"plantar and thoracolumbar fascia store and return energy across the gait cycle, lowering the metabolic cost of running",milliseconds-seconds,,intra-organ,shear wave elastography,,,ultrasound fascial thickness,,,range of motion,,,,,,musculoskeletal system,,,mechanical loading,response to mechanical stimulus,GO:0009612,tendon loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,force transmission,response to mechanical stimulus,GO:0009612,myofascial force transmission,response to mechanical stimulus,GO:0009612,lateral and epimuscular load transfer,,,,,,,,,,,,,,,,,tissue,fascia,fascia,UBERON:0007798,deep fascia,,,fascial stiffness,,,increases,transport of X from Y to Z,mechanical force,,,muscle,,,adjacent muscle,,,,stiffness rises with collagen density and cross-linking and falls with hydration,days,intra-organ,intra-organ,shear wave elastography,,,ultrasound fascial thickness,,,range of motion,,,,,,musculoskeletal system,,,mechanical loading,response to mechanical stimulus,GO:0009612,tendon loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,force transmission,response to mechanical stimulus,GO:0009612,myofascial force transmission,response to mechanical stimulus,GO:0009612,lateral and epimuscular load transfer,,,,,,,,,,,,,,,"GRAMMAR NOTE: the endocrine reference set has cell-cell adhesion but no cell-matrix term; this is a coined variant, so fold it back if you would rather not add one","Fascial fibroblasts anchor to the surrounding matrix, becoming mechanically continuous with it",cell,fascia,fascia,UBERON:0007798,fibroblast,fibroblast,CL:0000057,,,,does,cell-matrix adhesion,,,,,,,,,,,integrin-mediated focal adhesions couple the cytoskeleton to the collagen network bidirectionally,minutes-hours,,intra-organ,shear wave elastography,,,ultrasound fascial thickness,,,range of motion,,,,,,musculoskeletal system,,,mechanical loading,response to mechanical stimulus,GO:0009612,tendon loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,gliding function,,,interlayer sliding,,,hyaluronan production and lubrication,hyaluronan biosynthetic process,GO:0030213,,,,,,,,,,,,,"described as a distinct fibroblast-like cell type only within the last decade; no Cell Ontology term exists, so the ID is blank",Fasciacytes secrete hyaluronan into the loose connective tissue separating fascial layers,cell,fascia,fascia,UBERON:0007798,fasciacyte,,,,,,does,X secretion,hyaluronan,,,,,,,,,,fasciacytes lie at the interface between dense fascial layers and the loose connective tissue between them,hours-days,,intra-organ,dynamic ultrasound shear strain,,,ultrasound fascial thickness,,,range of motion,,,,,,mechanical loading,response to mechanical stimulus,GO:0009612,densification,,,musculoskeletal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,gliding function,,,interlayer sliding,,,hyaluronan production and lubrication,hyaluronan biosynthetic process,GO:0030213,,,,,,,,,,,,,,A hyaluronan-rich fluid layer separates and lubricates adjacent fascial planes,tissue,fascia,fascia,UBERON:0007798,loose connective tissue,,,,,,does,X storage,hyaluronan-rich fluid,,,,,,,,,,the interposed layer is typically a few hundred micrometres thick and permits several millimetres of relative sliding,hours,,intra-organ,dynamic ultrasound shear strain,,,ultrasound fascial thickness,,,range of motion,,,,,,mechanical loading,response to mechanical stimulus,GO:0009612,densification,,,musculoskeletal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,gliding function,,,interlayer sliding,,,hyaluronan production and lubrication,hyaluronan biosynthetic process,GO:0030213,,,,,,,,,,,,,,Adjacent fascial layers glide relative to one another during movement,tissue,fascia,fascia,UBERON:0007798,loose connective tissue,,,,,,does,transport of X from Y to Z,shear displacement,,,superficial fascial layer,,,deep fascial layer,,,,interlayer shear strain is measurable on dynamic ultrasound and is reduced in chronic low back pain,seconds,,intra-organ,dynamic ultrasound shear strain,,,ultrasound fascial thickness,,,range of motion,,,,,,mechanical loading,response to mechanical stimulus,GO:0009612,densification,,,musculoskeletal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,gliding function,,,interlayer sliding,,,hyaluronan production and lubrication,hyaluronan biosynthetic process,GO:0030213,,,,,,,,,,,,,"densification is distinguished from fibrosis precisely because it is a fluid-phase, reversible change rather than a structural one",,tissue,fascia,fascia,UBERON:0007798,loose connective tissue,,,hyaluronan chain aggregation,,,decreases,transport of X from Y to Z,shear displacement,,,superficial fascial layer,,,deep fascial layer,,,,"densification: hyaluronan aggregates and viscosity rises with no change in collagen content, and the change is reversible",hours-days,intra-organ,intra-organ,dynamic ultrasound shear strain,,,ultrasound fascial thickness,,,range of motion,,,,,,mechanical loading,response to mechanical stimulus,GO:0009612,densification,,,musculoskeletal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,gliding function,,,interlayer sliding,,,hyaluronan production and lubrication,hyaluronan biosynthetic process,GO:0030213,,,,,,,,,,,,,,,tissue,fascia,fascia,UBERON:0007798,loose connective tissue,,,temperature,,,increases,transport of X from Y to Z,shear displacement,,,superficial fascial layer,,,deep fascial layer,,,,"hyaluronan viscosity falls with warming and with applied shear, the proposed mechanism of manual and thermal therapy",minutes,intra-organ,intra-organ,dynamic ultrasound shear strain,,,ultrasound fascial thickness,,,range of motion,,,,,,mechanical loading,response to mechanical stimulus,GO:0009612,densification,,,musculoskeletal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fascial system,,,gliding function,,,interlayer sliding,,,hyaluronan production and lubrication,hyaluronan biosynthetic process,GO:0030213,,,,,,,,,,,,,,,cell,fascia,fascia,UBERON:0007798,fasciacyte,,,immobilisation,,,decreases,X secretion,hyaluronan,,,,,,,,,,reduced movement lowers hyaluronan turnover and is associated with interlayer adhesion,days,intra-organ,intra-organ,dynamic ultrasound shear strain,,,ultrasound fascial thickness,,,range of motion,,,,,,mechanical loading,response to mechanical stimulus,GO:0009612,densification,,,musculoskeletal system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
