file,Organ,AS,FTU,CT,B,Total_unique_labels_across_spatial
Cardiovascular_System.csv,0,9,0,6,0,15
Dental_and_Craniofacial_System.csv,0,17,0,5,0,22
Digestive_System.csv,0,0,0,0,0,0
Endocrine_System.csv,2,4,0,33,0,41
Fascia_System.csv,0,0,0,0,0,0
Female_Reproductive_System.csv,5,18,1,11,0,34
Immune_and_Lymphatic_System.csv,0,0,0,0,0,0
Integumentary_System.csv,0,0,0,0,0,0
Male_Reproductive_System.csv,3,15,0,7,0,25
Muscular_System.csv,0,0,0,2,0,2
Nervous_System.csv,0,35,0,5,0,40
Pulmonary_System.csv,0,0,0,0,0,0
Skeletal_System.csv,0,1,0,4,0,5
Urinary_System.csv,0,0,0,0,0,0
