Whole Person Physiome Table for Integumentary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Brian Capell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-7036-8359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physiological Function,,,,,,,,,,,,,,,,,,,,,,,,,Physiological Process,,,,,,,,,,,,,,,,,,,,,,,,Scales of Effect,,,Clinical Metrics,,,,,,,,,,,,Interacting Functions,,,,,,,,,,,,Reference Material,,,,,,,,,,,,Common Data Elements,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,"psoriasis compresses this to 3-5 days, which is why the corneum forms without full maturation",Basal keratinocytes divide to renew the epidermis continuously throughout life,cell,epidermis,epidermis,UBERON:0001003,basal keratinocyte,basal cell of epidermis,CL:0002187,,,,does,X synthesis,keratinocyte,,,,,,,,,"[28, 40]","units = days for full epidermal transit; basal to granular ~14 days, granular through corneum ~14 days",days,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,,,cell,epidermis,epidermis,UBERON:0001003,basal keratinocyte,basal cell of epidermis,CL:0002187,epidermal growth factor,,,increases,X synthesis,keratinocyte,,,,,,,,,,,days,paracrine,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,"GRAMMAR NOTE: cornification is a specialised programmed cell death; represented here as a conversion because the endocrine reference table has no death term, though your stated 50-term set may already include apoptosis",Granular keratinocytes undergo terminal differentiation into anucleate corneocytes,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,X conversion to Y,granular keratinocyte,,,corneocyte,,,,,,,"terminal differentiation: nucleus and organelles are lost, and the cornified envelope is cross-linked by transglutaminase",days,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,,Keratinocytes build the intermediate filament cytoskeleton that gives the epidermis its tensile strength,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,X synthesis,keratin intermediate filaments,,,,,,,,,,K5/K14 in the basal layer switching to K1/K10 on differentiation; mutations cause the epidermolysis bullosa simplex phenotypes,hours-days,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,ceramide depletion is a central and measurable defect in atopic dermatitis,Lamellar bodies discharge lipid into the intercellular space to seal the corneum,cell,stratum corneum,stratum corneum of epidermis,UBERON:0002027,keratinocyte,keratinocyte,CL:0000312,,,,does,X secretion,lamellar body lipids,,,,,,,,,,"ceramides, cholesterol and free fatty acids in roughly equimolar ratio; the mortar of the brick-and-mortar model",hours,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,autoantibodies against desmoglein 1 and 3 produce the intraepidermal blistering of pemphigus,Desmosomal adhesion holds keratinocytes together against mechanical shear,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,cell-cell adhesion,,,,,,,,,,,"desmosomes, converted to corneodesmosomes in the corneum and cleaved by kallikreins during desquamation",hours-days,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,,Granular layer tight junctions provide a distinct barrier to water and solute flux,cell,epidermis,epidermis,UBERON:0001003,keratinocyte,keratinocyte,CL:0000312,,,,does,cell-cell adhesion,,,,,,,,,,,"tight junctions in the stratum granulosum form a second, inward barrier beneath the corneum",hours,,intra-organ,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integumentary system,,,barrier function,establishment of skin barrier,GO:0061436,epidermal differentiation,keratinocyte differentiation,GO:0030216,cornified envelope formation,,,,,,,,,,,,,,,in extensive burns this loss can exceed several litres per day and is a major driver of fluid requirement,The intact corneum restricts evaporative water loss to a low baseline rate,organ,skin,skin of body,UBERON:0002097,skin,,,,,,does,transport of X from Y to Z,water,,,body water,,,atmosphere,,,"[4, 8]",units = g/m2/h transepidermal water loss on normal skin; rises tenfold or more with barrier disruption,hours,,systemic,transepidermal water loss,,,stratum corneum hydration,,,,,,,,,immune system,immune system process,GO:0002376,skin microbiota,,,atopic dermatitis,,,epidermal turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
